Year,UNIT_MEASURE,Entity,Value
2008,NUMBER,BiH,4105.0
2008,NUMBER,FBIH,4105.0
2009,NUMBER,BiH,3806.0
2009,NUMBER,FBIH,3806.0
2010,NUMBER,BiH,3080.0
2010,NUMBER,FBIH,3080.0
2011,NUMBER,BiH,4598.0
2011,NUMBER,FBIH,4598.0
2012,NUMBER,BiH,4823.0
2012,NUMBER,FBIH,4823.0
2013,NUMBER,BiH,4597.0
2013,NUMBER,FBIH,4597.0
2014,NUMBER,BiH,4730.0
2014,NUMBER,FBIH,4730.0
2015,NUMBER,BiH,4788.0
2015,NUMBER,FBIH,4788.0
2016,NUMBER,BiH,4909.0
2016,NUMBER,FBIH,4909.0
2017,NUMBER,BiH,5038.0
2017,NUMBER,FBIH,5038.0
2018,NUMBER,BiH,4910.0
2018,NUMBER,FBIH,4910.0
