Year,UNIT_MEASURE,school_year_beginning,Пол,Value
2013,Број,2011/2012,Оба пола,316657
2013,Број,2012/2013,Оба пола,304881
2013,Број,2013/2014,Оба пола,302133
2013,Број,2014/2015,Оба пола,296819
2013,Број,2015/2016,Оба пола,291342
2013,Број,2016/2017,Оба пола,287729
2013,Број,2017/2018,Оба пола,282946
2013,Број,2018/2019,Оба пола,280018
2013,Број,2019/2020,Оба пола,274034
2013,Број,2020/2021,Оба пола,268059
2013,Број,2011/2012,M,162596
2013,Број,2012/2013,M,156296
2013,Број,2013/2014,M,154895
2013,Број,2014/2015,M,152363
2013,Број,2015/2016,M,149888
2013,Број,2016/2017,M,148250
2013,Број,2017/2018,M,145441
2013,Број,2018/2019,M,143837
2013,Број,2019/2020,M,140792
2013,Број,2020/2021,M,137540
2013,Број,2011/2012,Ж,154061
2013,Број,2012/2013,Ж,148585
2013,Број,2013/2014,Ж,147238
2013,Број,2014/2015,Ж,144456
2013,Број,2015/2016,Ж,141454
2013,Број,2016/2017,Ж,139479
2013,Број,2017/2018,Ж,137505
2013,Број,2018/2019,Ж,136181
2013,Број,2019/2020,Ж,133242
2013,Број,2020/2021,Ж,130519
