Year,SEX,UNIT_MEASURE,Value
2020,_T,crude_death_rate_1000,10.9
2025,_T,crude_death_rate_1000,11.9
2030,_T,crude_death_rate_1000,13.0
2035,_T,crude_death_rate_1000,14.4
2040,_T,crude_death_rate_1000,15.9
2045,_T,crude_death_rate_1000,17.4
2050,_T,crude_death_rate_1000,18.6
2055,_T,crude_death_rate_1000,19.7
2060,_T,crude_death_rate_1000,20.5
2065,_T,crude_death_rate_1000,21.3
2070,_T,crude_death_rate_1000,22.0
2020,M,crude_death_rate_1000,11.4
2025,M,crude_death_rate_1000,12.5
2030,M,crude_death_rate_1000,13.8
2035,M,crude_death_rate_1000,15.3
2040,M,crude_death_rate_1000,16.9
2045,M,crude_death_rate_1000,18.5
2050,M,crude_death_rate_1000,19.8
2055,M,crude_death_rate_1000,20.9
2060,M,crude_death_rate_1000,21.9
2065,M,crude_death_rate_1000,22.6
2070,M,crude_death_rate_1000,23.1
2020,F,crude_death_rate_1000,10.52
2025,F,crude_death_rate_1000,11.42
2030,F,crude_death_rate_1000,12.48
2035,F,crude_death_rate_1000,13.75
2040,F,crude_death_rate_1000,15.19
2045,F,crude_death_rate_1000,16.66
2050,F,crude_death_rate_1000,17.9
2055,F,crude_death_rate_1000,18.93
2060,F,crude_death_rate_1000,19.79
2065,F,crude_death_rate_1000,20.64
2070,F,crude_death_rate_1000,21.5
