Year,Municipality,Godine,UNIT_MEASURE,Spol,Value
2013,Grude,Total,Broj,Oba spola,17308
2013,Grude,Total,Broj,Muškarci,8621
2013,Grude,Total,Broj,Žene,8687
2013,Sarajevo - Hadžići,Total,Broj,Oba spola,23891
2013,Sarajevo - Hadžići,Total,Broj,Muškarci,11914
2013,Sarajevo - Hadžići,Total,Broj,Žene,11977
2013,Han Pijesak,Total,Broj,Oba spola,3530
2013,Han Pijesak,Total,Broj,Muškarci,1667
2013,Han Pijesak,Total,Broj,Žene,1863
2013,Sarajevo - Ilidža,Total,Broj,Oba spola,66730
2013,Sarajevo - Ilidža,Total,Broj,Muškarci,32359
2013,Sarajevo - Ilidža,Total,Broj,Žene,34371
2013,Sarajevo - Ilijaš,Total,Broj,Oba spola,19603
2013,Sarajevo - Ilijaš,Total,Broj,Muškarci,9381
2013,Sarajevo - Ilijaš,Total,Broj,Žene,10222
2013,Istočna Ilidža,Total,Broj,Oba spola,14763
2013,Istočna Ilidža,Total,Broj,Muškarci,7069
2013,Istočna Ilidža,Total,Broj,Žene,7694
2013,Istočni Drvar,Total,Broj,Oba spola,79
2013,Istočni Drvar,Total,Broj,Muškarci,53
2013,Istočni Drvar,Total,Broj,Žene,26
2013,Istočni Mostar,Total,Broj,Oba spola,257
2013,Istočni Mostar,Total,Broj,Muškarci,142
2013,Istočni Mostar,Total,Broj,Žene,115
2013,Istočni Stari Grad,Total,Broj,Oba spola,1131
2013,Istočni Stari Grad,Total,Broj,Muškarci,560
2013,Istočni Stari Grad,Total,Broj,Žene,571
2013,Istočno Novo Sarajevo,Total,Broj,Oba spola,10642
2013,Istočno Novo Sarajevo,Total,Broj,Muškarci,5058
2013,Istočno Novo Sarajevo,Total,Broj,Žene,5584
2013,Jablanica,Total,Broj,Oba spola,10111
2013,Jablanica,Total,Broj,Muškarci,5027
2013,Jablanica,Total,Broj,Žene,5084
2013,Jajce,Total,Broj,Oba spola,27258
2013,Jajce,Total,Broj,Muškarci,13856
