Year,UNIT_MEASURE,Administrative area,Value
2005,Number,Republika Srpska,19.13
2006,Number,Republika Srpska,18.76
2007,Number,Federation of BiH,14.97
2007,Number,Republika Srpska,24.9
2008,Number,Federation of BiH,11.02
2008,Number,Republika Srpska,26.43
2009,Number,Federation of BiH,14.89
2009,Number,Republika Srpska,26.07
2010,Number,Federation of BiH,12.65
2010,Number,Republika Srpska,37.12
2011,Number,Federation of BiH,10.31
2011,Number,Republika Srpska,23.99
2012,Number,Federation of BiH,14.78
2013,Number,Federation of BiH,8.41
2014,Number,Federation of BiH,14.36
2015,Number,Federation of BiH,13.44
2016,Number,Federation of BiH,19.13
2016,Number,Republika Srpska,32.42
2017,Number,Federation of BiH,10.26
