Year,UNIT_MEASURE,Administrative area,Value
1999,Number,BiH,1754
1999,Number,Republika Srpska,1754
2000,Number,BiH,1716
2000,Number,Republika Srpska,1716
2001,Number,BiH,1731
2001,Number,Republika Srpska,1731
2002,Number,BiH,1786
2002,Number,Republika Srpska,1786
2003,Number,BiH,1802
2003,Number,Republika Srpska,1802
2004,Number,BiH,1838
2004,Number,Republika Srpska,1838
2005,Number,BiH,5540
2005,Number,FBiH,3683
2005,Number,Republika Srpska,1857
2006,Number,BiH,5684
2006,Number,FBiH,3767
2006,Number,Republika Srpska,1917
2007,Number,BiH,5967
2007,Number,FBiH,3979
2007,Number,Republika Srpska,1988
2008,Number,BiH,6165
2008,Number,FBiH,4117
2008,Number,Republika Srpska,2048
2009,Number,BiH,6369
2009,Number,FBiH,4268
2009,Number,Republika Srpska,2101
2010,Number,BiH,6540
2010,Number,FBiH,4355
2010,Number,Republika Srpska,2185
2011,Number,BiH,6729
2011,Number,FBiH,4443
2011,Number,Republika Srpska,2286
2012,Number,BiH,6874
2012,Number,FBiH,4519
2012,Number,Republika Srpska,2355
2013,Number,BiH,7068
2013,Number,FBiH,4625
2013,Number,Republika Srpska,2443
2014,Number,BiH,7272
2014,Number,FBiH,4801
2014,Number,Republika Srpska,2471
2015,Number,BiH,7255
2015,Number,FBiH,4764
2015,Number,Republika Srpska,2491
2016,Number,BiH,7285
2016,Number,FBiH,4755
2016,Number,Republika Srpska,2530
2017,Number,BiH,7330
2017,Number,FBiH,4810
2017,Number,Republika Srpska,2520
2018,Number,BiH,7653
2018,Number,FBiH,4922
2018,Number,Republika Srpska,2588
2019,Number,BiH,5092
2019,Number,FBiH,5092
2018,Number,Brčko District of BiH,143
