Year,UNIT_MEASURE,Sex,Age,Value
1981,Number,Both sexes,65,14108
1981,Number,Both sexes,66,21522
1981,Number,Both sexes,67,19181
1981,Number,Both sexes,68,20595
1981,Number,Both sexes,69,16691
1981,Number,Both sexes,70,20293
1981,Number,Both sexes,71,16267
1981,Number,Both sexes,72,13683
1981,Number,Both sexes,73,14215
1981,Number,Both sexes,74,13034
1981,Number,Both sexes,75,12425
1981,Number,Both sexes,76,10471
1981,Number,Both sexes,77,8492
1981,Number,Both sexes,78,7556
1981,Number,Both sexes,79,5602
1981,Number,Both sexes,80,11337
1981,Number,Both sexes,81,4313
1981,Number,Both sexes,82,3108
1981,Number,Both sexes,83,2576
1981,Number,Both sexes,84,2235
1981,Number,Both sexes,85,2047
1981,Number,Both sexes,86,1471
1981,Number,Both sexes,87,1161
1981,Number,Both sexes,88,1460
1981,Number,Both sexes,89,742
1981,Number,Both sexes,90,909
1981,Number,Both sexes,91,475
1981,Number,Both sexes,92,527
1981,Number,Both sexes,93,334
1981,Number,Both sexes,94,363
1981,Number,Both sexes,95,300
1981,Number,Both sexes,96,219
1981,Number,Both sexes,97,195
1981,Number,Both sexes,98,183
1981,Number,Both sexes,99,103
1981,Number,Both sexes,100,106
1981,Number,Both sexes,101,0
1981,Number,Both sexes,102,0
1981,Number,Both sexes,103,0
1981,Number,Both sexes,104,0
1981,Number,Both sexes,105,0
1981,Number,Both sexes,106,0
1981,Number,Both sexes,107,0
1981,Number,Both sexes,108,0
1981,Number,Both sexes,109,0
1981,Number,Both sexes,110,0
1981,Number,Both sexes,111,0
1981,Number,Both sexes,112,0
1981,Number,Both sexes,113,0
1981,Number,Both sexes,114,0
1981,Number,Both sexes,115,0
1981,Number,Both sexes,116,0
1981,Number,Both sexes,117,0
1981,Number,Both sexes,118,0
1981,Number,Both sexes,119,0
1981,Number,Both sexes,120,0
1981,Number,Both sexes,Unknown,5666
1981,Number,Both sexes,Total,3941316
1991,Number,Both sexes,0,62844
1991,Number,Both sexes,1,63482
1991,Number,Both sexes,2,64263
1991,Number,Both sexes,3,66490
1991,Number,Both sexes,4,65409
1991,Number,Both sexes,5,66820
1991,Number,Both sexes,6,67400
1991,Number,Both sexes,7,67606
1991,Number,Both sexes,8,67996
1991,Number,Both sexes,9,67288
1991,Number,Both sexes,10,67020
1991,Number,Both sexes,11,67029
1991,Number,Both sexes,12,65604
1991,Number,Both sexes,13,66900
1991,Number,Both sexes,14,68184
1991,Number,Both sexes,15,68565
1991,Number,Both sexes,16,67490
1991,Number,Both sexes,17,67137
1991,Number,Both sexes,18,69170
1991,Number,Both sexes,19,70167
1991,Number,Both sexes,20,65291
1991,Number,Both sexes,21,67179
1991,Number,Both sexes,22,66881
1991,Number,Both sexes,23,69027
1991,Number,Both sexes,24,70680
1991,Number,Both sexes,25,70898
1991,Number,Both sexes,26,69164
1991,Number,Both sexes,27,69353
1991,Number,Both sexes,28,70092
