Year,Value,UNIT_MEASURE
1971,9.4,number_birth_rate
1981,8.9,number_birth_rate
1991,6.5,number_birth_rate
1996,5.8,number_birth_rate
1997,6.2,number_birth_rate
1998,6.1,number_birth_rate
1999,6.0,number_birth_rate
2000,5.8,number_birth_rate
2001,5.3,number_birth_rate
2002,5.3,number_birth_rate
2003,5.4,number_birth_rate
2004,5.8,number_birth_rate
2005,5.6,number_birth_rate
2006,5.6,number_birth_rate
2007,6.12,number_birth_rate
2008,5.77,number_birth_rate
2009,5.37,number_birth_rate
2010,5.08,number_birth_rate
2011,4.99,number_birth_rate
2012,4.75,number_birth_rate
2013,5.0,number_birth_rate
2014,5.3,number_birth_rate
2015,5.6,number_birth_rate
2016,5.5,number_birth_rate
2017,5.7,number_birth_rate
2018,5.7,number_birth_rate
2019,5.4,number_birth_rate
