Year,Value,UNIT_MEASURE
1996,1.647,children_pre_woman
1997,1.684,children_pre_woman
1998,1.558,children_pre_woman
1999,1.362,children_pre_woman
2000,1.3,children_pre_woman
2001,1.4,children_pre_woman
2002,1.2,children_pre_woman
2003,1.215,children_pre_woman
2004,1.217,children_pre_woman
2005,1.2,children_pre_woman
2006,1.176,children_pre_woman
2007,1.258,children_pre_woman
2008,1.285,children_pre_woman
2009,1.303,children_pre_woman
2010,1.266,children_pre_woman
2011,1.205,children_pre_woman
2012,1.349,children_pre_woman
2013,1.276,children_pre_woman
2014,1.258,children_pre_woman
2015,1.242,children_pre_woman
2016,1.258,children_pre_woman
2017,1.259,children_pre_woman
2018,1.252,children_pre_woman
2019,1.204,children_pre_woman
