Year,UNIT_MEASURE,Administrativna oblast,Value
1997,Broj,BiH,5.0
1997,Broj,Republika Srpska,5.0
1998,Broj,BiH,19.0
1998,Broj,Republika Srpska,19.0
1999,Broj,BiH,6.0
1999,Broj,Republika Srpska,6.0
2001,Broj,BiH,5.0
2001,Broj,Republika Srpska,5.0
2002,Broj,BiH,4.0
2002,Broj,Republika Srpska,4.0
2003,Broj,BiH,12.0
2003,Broj,Federacija BiH,8.0
2003,Broj,Republika Srpska,4.0
2004,Broj,BiH,11.0
2004,Broj,Federacija BiH,10.0
2004,Broj,Republika Srpska,1.0
2005,Broj,BiH,11.0
2005,Broj,Federacija BiH,11.0
2006,Broj,BiH,17.0
2006,Broj,Federacija BiH,12.0
2006,Broj,Republika Srpska,5.0
2007,Broj,BiH,5.0
2007,Broj,Federacija BiH,4.0
2007,Broj,Republika Srpska,1.0
2008,Broj,BiH,7.0
2008,Broj,Federacija BiH,7.0
2009,Broj,BiH,8.0
2009,Broj,Federacija BiH,4.0
2009,Broj,Republika Srpska,4.0
2010,Broj,BiH,7.0
2010,Broj,Federacija BiH,3.0
2010,Broj,Republika Srpska,4.0
2011,Broj,BiH,25.0
2011,Broj,Federacija BiH,20.0
2011,Broj,Republika Srpska,5.0
2012,Broj,BiH,25.0
2012,Broj,Federacija BiH,17.0
2012,Broj,Republika Srpska,8.0
2013,Broj,BiH,24.0
2013,Broj,Federacija BiH,16.0
2013,Broj,Republika Srpska,8.0
2014,Broj,BiH,17.0
2014,Broj,Federacija BiH,15.0
2014,Broj,Republika Srpska,2.0
2015,Broj,BiH,12.0
2015,Broj,Federacija BiH,10.0
2015,Broj,Republika Srpska,2.0
2016,Broj,BiH,23.0
2016,Broj,Federacija BiH,16.0
2016,Broj,Republika Srpska,7.0
2017,Broj,BiH,12.0
2017,Broj,Federacija BiH,7.0
2017,Broj,Republika Srpska,5.0
2018,Broj,BiH,24.0
2018,Broj,Federacija BiH,19.0
2018,Broj,Republika Srpska,5.0
2019,Broj,BiH,21.0
2019,Broj,Federacija BiH,21.0
