Year,Spol,UNIT_MEASURE,Value
1996,Oba spola,Broj,653
1997,Oba spola,Broj,601
1998,Oba spola,Broj,494
1999,Oba spola,Broj,431
2000,Oba spola,Broj,383
2001,Oba spola,Broj,287
2002,Oba spola,Broj,334
2003,Oba spola,Broj,268
2004,Oba spola,Broj,253
2005,Oba spola,Broj,233
2006,Oba spola,Broj,255
2007,Oba spola,Broj,231
2008,Oba spola,Broj,235
2009,Oba spola,Broj,224
2010,Oba spola,Broj,216
2011,Oba spola,Broj,184
2012,Oba spola,Broj,177
2013,Oba spola,Broj,181
2014,Oba spola,Broj,156
2015,Oba spola,Broj,182
2016,Oba spola,Broj,178
2017,Oba spola,Broj,196
2018,Oba spola,Broj,183
2019,Oba spola,Broj,190
1996,M,Broj,360
1997,M,Broj,369
1998,M,Broj,302
1999,M,Broj,242
2000,M,Broj,220
2001,M,Broj,159
2002,M,Broj,191
2003,M,Broj,154
2004,M,Broj,151
2005,M,Broj,133
2006,M,Broj,158
2007,M,Broj,132
2008,M,Broj,131
2009,M,Broj,116
2010,M,Broj,125
2011,M,Broj,111
2012,M,Broj,111
2013,M,Broj,109
2014,M,Broj,74
2015,M,Broj,94
2016,M,Broj,111
2017,M,Broj,105
2018,M,Broj,91
2019,M,Broj,102
1996,Ž,Broj,293
1997,Ž,Broj,232
1998,Ž,Broj,192
1999,Ž,Broj,189
2000,Ž,Broj,163
2001,Ž,Broj,128
2002,Ž,Broj,143
2003,Ž,Broj,114
2004,Ž,Broj,102
2005,Ž,Broj,100
2006,Ž,Broj,97
2007,Ž,Broj,99
2008,Ž,Broj,104
2009,Ž,Broj,108
2010,Ž,Broj,91
2011,Ž,Broj,73
2012,Ž,Broj,66
2013,Ž,Broj,72
2014,Ž,Broj,82
2015,Ž,Broj,88
2016,Ž,Broj,67
2017,Ž,Broj,91
2018,Ž,Broj,92
2019,Ž,Broj,88
