Year,UNIT_MEASURE,Godine,Spol,Municipality,Value
2013,Broj,Total,Oba spola,Tomislavgrad,31592
2013,Broj,Total,Oba spola,Travnik,53482
2013,Broj,Total,Oba spola,Trebinje,29198
2013,Broj,Total,Oba spola,Trnovo - FBIH,1502
2013,Broj,Total,Oba spola,Trnovo - RS,2050
2013,Broj,Total,Oba spola,Tuzla,110979
2013,Broj,Total,Oba spola,Ugljevik,15710
2013,Broj,Total,Oba spola,Usora,6603
2013,Broj,Total,Oba spola,Vareš,8892
2013,Broj,Total,Oba spola,Velika Kladuša,40419
2013,Broj,Total,Oba spola,Visoko,39938
2013,Broj,Total,Oba spola,Višegrad,10668
2013,Broj,Total,Oba spola,Vitez,25836
2013,Broj,Total,Oba spola,Vlasenica,11467
2013,Broj,Total,Oba spola,Sarajevo - Vogošća,26343
2013,Broj,Total,Oba spola,Vukosavlje,4667
2013,Broj,Total,Oba spola,Zavidovići,35988
2013,Broj,Total,Oba spola,Zenica,110663
2013,Broj,Total,Oba spola,Zvornik,58856
2013,Broj,Total,Oba spola,Žepče,30219
2013,Broj,Total,Oba spola,Živinice,57765
2013,Broj,0-4,Oba spola,Banja Luka,9610
2013,Broj,0-4,Oba spola,Banovići,1206
2013,Broj,0-4,Oba spola,Berkovići,93
2013,Broj,0-4,Oba spola,Bihać,2652
2013,Broj,0-4,Oba spola,Bijeljina,5080
2013,Broj,0-4,Oba spola,Bileća,487
2013,Broj,0-4,Oba spola,Bosanska Krupa,1423
2013,Broj,0-4,Oba spola,Bosanski Petrovac,249
2013,Broj,0-4,Oba spola,Bosansko Grahovo,69
2013,Broj,0-4,Oba spola,Bratunac,948
2013,Broj,0-4,Oba spola,Brčko,4165
2013,Broj,0-4,Oba spola,Breza,698
2013,Broj,0-4,Oba spola,Brod,771
2013,Broj,0-4,Oba spola,Bugojno,1484
2013,Broj,0-4,Oba spola,Busovača,961
2013,Broj,0-4,Oba spola,Bužim,1405
2013,Broj,0-4,Oba spola,Cazin,3940
2013,Broj,0-4,Oba spola,Sarajevo - Centar,2588
2013,Broj,0-4,Oba spola,Čajniče,185
2013,Broj,0-4,Oba spola,Čapljina,1233
2013,Broj,0-4,Oba spola,Čelić,475
2013,Broj,0-4,Oba spola,Čelinac,769
2013,Broj,0-4,Oba spola,Čitluk,1002
2013,Broj,0-4,Oba spola,Derventa,1170
2013,Broj,0-4,Oba spola,Doboj,3330
2013,Broj,0-4,Oba spola,Doboj-Istok,541
2013,Broj,0-4,Oba spola,Doboj-Jug,235
2013,Broj,0-4,Oba spola,Dobretići,30
2013,Broj,0-4,Oba spola,Domaljevac-Šamac,163
2013,Broj,0-4,Oba spola,Donji Vakuf,680
2013,Broj,0-4,Oba spola,Donji Žabar,145
2013,Broj,0-4,Oba spola,Drvar,210
2013,Broj,0-4,Oba spola,Foča - FBIH,85
2013,Broj,0-4,Oba spola,Foča - RS,644
2013,Broj,0-4,Oba spola,Fojnica,557
2013,Broj,0-4,Oba spola,Gacko,419
2013,Broj,0-4,Oba spola,Glamoč,145
2013,Broj,0-4,Oba spola,Goražde,978
2013,Broj,0-4,Oba spola,Gornji Vakuf-Uskoplje,1072
2013,Broj,0-4,Oba spola,Gračanica,2600
2013,Broj,0-4,Oba spola,Gradačac,2100
2013,Broj,0-4,Oba spola,Gradiška,2092
2013,Broj,0-4,Oba spola,Grude,805
2013,Broj,0-4,Oba spola,Sarajevo - Hadžići,1380
2013,Broj,0-4,Oba spola,Han Pijesak,134
2013,Broj,0-4,Oba spola,Sarajevo - Ilidža,3915
2013,Broj,0-4,Oba spola,Sarajevo - Ilijaš,1085
2013,Broj,0-4,Oba spola,Istočna Ilidža,649
2013,Broj,0-4,Oba spola,Istočni Mostar,7
