Year,UNIT_MEASURE,Административно подручје,Value
2005,Број,Република Српска,19.13
2006,Број,Република Српска,18.76
2007,Број,Федерација БиХ,14.97
2007,Број,Република Српска,24.9
2008,Број,Федерација БиХ,11.02
2008,Број,Република Српска,26.43
2009,Број,Федерација БиХ,14.89
2009,Број,Република Српска,26.07
2010,Број,Федерација БиХ,12.65
2010,Број,Република Српска,37.12
2011,Број,Федерација БиХ,10.31
2011,Број,Република Српска,23.99
2012,Број,Федерација БиХ,14.78
2013,Број,Федерација БиХ,8.41
2014,Број,Федерација БиХ,14.36
2015,Број,Федерација БиХ,13.44
2016,Број,Федерација БиХ,19.13
2016,Број,Република Српска,32.42
2017,Број,Федерација БиХ,10.26
