Year,UNIT_MEASURE,school_year_end,Spol,Value
2013,Broj,2010/2011,Oba spola,35349
2013,Broj,2011/2012,Oba spola,34791
2013,Broj,2012/2013,Oba spola,40630
2013,Broj,2013/2014,Oba spola,43991
2013,Broj,2014/2015,Oba spola,43318
2013,Broj,2015/2016,Oba spola,35897
2013,Broj,2016/2017,Oba spola,31761
2013,Broj,2017/2018,Oba spola,32963
2013,Broj,2018/2019,Oba spola,32540
2013,Broj,2019/2020,Oba spola,31140
2013,Broj,2010/2011,M,18022
2013,Broj,2011/2012,M,18153
2013,Broj,2012/2013,M,20895
2013,Broj,2013/2014,M,22589
2013,Broj,2014/2015,M,22230
2013,Broj,2015/2016,M,18464
2013,Broj,2016/2017,M,16307
2013,Broj,2017/2018,M,16580
2013,Broj,2018/2019,M,16519
2013,Broj,2019/2020,M,15982
2013,Broj,2010/2011,Ž,17327
2013,Broj,2011/2012,Ž,16638
2013,Broj,2012/2013,Ž,19735
2013,Broj,2013/2014,Ž,21402
2013,Broj,2014/2015,Ž,21088
2013,Broj,2015/2016,Ž,17433
2013,Broj,2016/2017,Ž,15454
2013,Broj,2017/2018,Ž,16383
2013,Broj,2018/2019,Ž,16021
2013,Broj,2019/2020,Ž,15158
