Year,UNIT_MEASURE,Ентитет,Value
2005,Број,BiH,142
2005,Број,Република Српска,142
2006,Број,BiH,139
2006,Број,Република Српска,139
2007,Број,BiH,362
2007,Број,Федерација БиХ,178
2007,Број,Република Српска,184
2008,Број,BiH,326
2008,Број,Федерација БиХ,131
2008,Број,Република Српска,195
2009,Број,BiH,369
2009,Број,Федерација БиХ,177
2009,Број,Република Српска,192
2010,Број,BiH,424
2010,Број,Федерација БиХ,151
2010,Број,Република Српска,273
2011,Број,BiH,299
2011,Број,Федерација БиХ,123
2011,Број,Република Српска,176
2012,Број,BiH,174
2012,Број,Федерација БиХ,174
2013,Број,BiH,99
2013,Број,Федерација БиХ,99
2014,Број,BiH,169
2014,Број,Федерација БиХ,169
2015,Број,BiH,158
2015,Број,Федерација БиХ,158
2016,Број,BiH,407
2016,Број,Федерација БиХ,215
2016,Број,Република Српска,192
2017,Број,BiH,115
2017,Број,Федерација БиХ,115
