Year,UNIT_MEASURE,Spol,AGE,Value
1971.0,1971.0,M,0-4,-207129.0
1971.0,1971.0,M,5-9,-225726.0
1971.0,1971.0,M,10-14,-225066.0
1971.0,1971.0,M,15-19,-209215.0
1971.0,1971.0,M,20-24,-162073.0
1971.0,1971.0,M,25-29,-109724.0
1971.0,1971.0,M,30-34,-140952.0
1971.0,1971.0,M,35-39,-139035.0
1971.0,1971.0,M,40-44,-118781.0
1971.0,1971.0,M,45-49,-70017.0
1971.0,1971.0,M,50-54,-41069.0
1971.0,1971.0,M,55-59,-48828.0
1971.0,1971.0,M,60-64,-53087.0
1971.0,1971.0,M,65-69,-37590.0
1971.0,1971.0,M,70-74,-23136.0
1971.0,1971.0,M,75-79,-9502.0
1971.0,1971.0,M,80-84,-4300.0
1971.0,1971.0,M,85-89,-1636.0
1971.0,1971.0,M,90-94,-555.0
1971.0,1971.0,M,95-99,-158.0
1971.0,1971.0,M,100-104,-15.0
1971.0,1971.0,M,105-109,0.0
1971.0,1971.0,M,110-114,0.0
1971.0,1971.0,M,115-120,0.0
1981.0,1981.0,M,0-4,-178030.0
1981.0,1981.0,M,5-9,-185725.0
1981.0,1981.0,M,10-14,-198722.0
1981.0,1981.0,M,15-19,-220775.0
1981.0,1981.0,M,20-24,-205585.0
1981.0,1981.0,M,25-29,-170406.0
1981.0,1981.0,M,30-34,-125706.0
1981.0,1981.0,M,35-39,-91391.0
1981.0,1981.0,M,40-44,-123183.0
1981.0,1981.0,M,45-49,-123327.0
1981.0,1981.0,M,50-54,-107239.0
1981.0,1981.0,M,55-59,-62482.0
1981.0,1981.0,M,60-64,-35034.0
1981.0,1981.0,M,65-69,-37830.0
1981.0,1981.0,M,70-74,-34700.0
1981.0,1981.0,M,75-79,-19399.0
1981.0,1981.0,M,80-84,-9446.0
1981.0,1981.0,M,85-89,-2435.0
1981.0,1981.0,M,90-94,-810.0
1981.0,1981.0,M,95-99,-320.0
1981.0,1981.0,M,100-104,-25.0
1981.0,1981.0,M,105-109,0.0
1981.0,1981.0,M,110-114,0.0
1981.0,1981.0,M,115-120,0.0
1991.0,1991.0,M,0-4,-165380.0
1991.0,1991.0,M,5-9,-172585.0
1991.0,1991.0,M,10-14,-171325.0
1991.0,1991.0,M,15-19,-176899.0
1991.0,1991.0,M,20-24,-176964.0
1991.0,1991.0,M,25-29,-180750.0
1991.0,1991.0,M,30-34,-174952.0
1991.0,1991.0,M,35-39,-158175.0
1991.0,1991.0,M,40-44,-120184.0
1991.0,1991.0,M,45-49,-86297.0
1991.0,1991.0,M,50-54,-114074.0
1991.0,1991.0,M,55-59,-110798.0
1991.0,1991.0,M,60-64,-91391.0
1991.0,1991.0,M,65-69,-47796.0
1991.0,1991.0,M,70-74,-22785.0
1991.0,1991.0,M,75-79,-19076.0
1991.0,1991.0,M,80-84,-12614.0
1991.0,1991.0,M,85-89,-4367.0
1991.0,1991.0,M,90-94,-927.0
1991.0,1991.0,M,95-99,-106.0
1991.0,1991.0,M,100-104,-14.0
1991.0,1991.0,M,105-109,-7.0
1991.0,1991.0,M,110-114,-4.0
1991.0,1991.0,M,115-120,-2.0
2013.0,2013.0,M,0-4,-89442.0
2013.0,2013.0,M,5-9,-90881.0
2013.0,2013.0,M,10-14,-98653.0
2013.0,2013.0,M,15-19,-124900.0
2013.0,2013.0,M,20-24,-116883.0
2013.0,2013.0,M,25-29,-129248.0
2013.0,2013.0,M,30-34,-128593.0
2013.0,2013.0,M,35-39,-126145.0
2013.0,2013.0,M,40-44,-121595.0
2013.0,2013.0,M,45-49,-130087.0
2013.0,2013.0,M,50-54,-136153.0
2013.0,2013.0,M,55-59,-125576.0
2013.0,2013.0,M,60-64,-104970.0
2013.0,2013.0,M,65-69,-69066.0
2013.0,2013.0,M,70-74,-59854.0
2013.0,2013.0,M,75-79,-47403.0
2013.0,2013.0,M,80-84,-23769.0
2013.0,2013.0,M,85-89,-7555.0
2013.0,2013.0,M,90-94,-1311.0
2013.0,2013.0,M,95-99,-108.0
2013.0,2013.0,M,100-104,-29.0
2013.0,2013.0,M,105-109,-17.0
2013.0,2013.0,M,110-114,-32.0
2013.0,2013.0,M,115-120,0.0
1971.0,1971.0,Ž,0-4,198376.0
1971.0,1971.0,Ž,5-9,216939.0
1971.0,1971.0,Ž,10-14,217133.0
1971.0,1971.0,Ž,15-19,202172.0
1971.0,1971.0,Ž,20-24,157244.0
1971.0,1971.0,Ž,25-29,116003.0
1971.0,1971.0,Ž,30-34,148858.0
1971.0,1971.0,Ž,35-39,141447.0
1971.0,1971.0,Ž,40-44,124235.0
1971.0,1971.0,Ž,45-49,96224.0
1971.0,1971.0,Ž,50-54,60771.0
1971.0,1971.0,Ž,55-59,65801.0
1971.0,1971.0,Ž,60-64,59640.0
1971.0,1971.0,Ž,65-69,42218.0
1971.0,1971.0,Ž,70-74,30413.0
1971.0,1971.0,Ž,75-79,13548.0
1971.0,1971.0,Ž,80-84,7852.0
1971.0,1971.0,Ž,85-89,3476.0
1971.0,1971.0,Ž,90-94,1383.0
1971.0,1971.0,Ž,95-99,514.0
1971.0,1971.0,Ž,100-104,47.0
1971.0,1971.0,Ž,105-109,0.0
1971.0,1971.0,Ž,110-114,0.0
1971.0,1971.0,Ž,115-120,0.0
1981.0,1981.0,Ž,0-4,170690.0
1981.0,1981.0,Ž,5-9,177130.0
1981.0,1981.0,Ž,10-14,189147.0
1981.0,1981.0,Ž,15-19,207896.0
1981.0,1981.0,Ž,20-24,186691.0
1981.0,1981.0,Ž,25-29,159698.0
1981.0,1981.0,Ž,30-34,133472.0
1981.0,1981.0,Ž,35-39,104397.0
1981.0,1981.0,Ž,40-44,137357.0
1981.0,1981.0,Ž,45-49,131616.0
1981.0,1981.0,Ž,50-54,116935.0
1981.0,1981.0,Ž,55-59,90094.0
1981.0,1981.0,Ž,60-64,54623.0
1981.0,1981.0,Ž,65-69,54267.0
1981.0,1981.0,Ž,70-74,42792.0
1981.0,1981.0,Ž,75-79,25147.0
1981.0,1981.0,Ž,80-84,14123.0
1981.0,1981.0,Ž,85-89,4446.0
1981.0,1981.0,Ž,90-94,1798.0
1981.0,1981.0,Ž,95-99,680.0
1981.0,1981.0,Ž,100-104,81.0
1981.0,1981.0,Ž,105-109,0.0
1981.0,1981.0,Ž,110-114,0.0
1981.0,1981.0,Ž,115-120,0.0
1991.0,1991.0,Ž,0-4,157108.0
1991.0,1991.0,Ž,5-9,164525.0
1991.0,1991.0,Ž,10-14,163412.0
1991.0,1991.0,Ž,15-19,165630.0
1991.0,1991.0,Ž,20-24,162094.0
1991.0,1991.0,Ž,25-29,170619.0
1991.0,1991.0,Ž,30-34,168310.0
1991.0,1991.0,Ž,35-39,152733.0
1991.0,1991.0,Ž,40-44,128815.0
1991.0,1991.0,Ž,45-49,98024.0
1991.0,1991.0,Ž,50-54,128709.0
1991.0,1991.0,Ž,55-59,122250.0
1991.0,1991.0,Ž,60-64,105128.0
1991.0,1991.0,Ž,65-69,76378.0
1991.0,1991.0,Ž,70-74,39914.0
1991.0,1991.0,Ž,75-79,31593.0
1991.0,1991.0,Ž,80-84,18145.0
1991.0,1991.0,Ž,85-89,7157.0
1991.0,1991.0,Ž,90-94,1959.0
1991.0,1991.0,Ž,95-99,329.0
1991.0,1991.0,Ž,100-104,85.0
1991.0,1991.0,Ž,105-109,12.0
1991.0,1991.0,Ž,110-114,9.0
1991.0,1991.0,Ž,115-120,2.0
2013.0,2013.0,Ž,0-4,84622.0
2013.0,2013.0,Ž,5-9,86099.0
2013.0,2013.0,Ž,10-14,94022.0
2013.0,2013.0,Ž,15-19,117842.0
