Year,Entity,AGE,UNIT_MEASURE,Year.1,Value
2003,RS,13 - 14,NUMBER,2003,0
2003,RS,15 - 19,NUMBER,2003,688
2003,BD,13 - 14,NUMBER,2003,0
2003,BD,15 - 19,NUMBER,2003,0
2003,BiH,13 - 14,NUMBER,2003,9
2003,BiH,15 - 19,NUMBER,2003,2145
2004,FBIH,13 - 14,NUMBER,2004,7
2004,FBIH,15 - 19,NUMBER,2004,1396
2004,RS,13 - 14,NUMBER,2004,4
2004,RS,15 - 19,NUMBER,2004,697
2004,BD,13 - 14,NUMBER,2004,1
2004,BD,15 - 19,NUMBER,2004,43
2004,BiH,13 - 14,NUMBER,2004,12
2004,BiH,15 - 19,NUMBER,2004,2136
2005,FBIH,13 - 14,NUMBER,2005,2
2005,FBIH,15 - 19,NUMBER,2005,1296
2005,RS,13 - 14,NUMBER,2005,3
2005,RS,15 - 19,NUMBER,2005,659
2005,BD,13 - 14,NUMBER,2005,1
2005,BD,15 - 19,NUMBER,2005,52
2005,BiH,13 - 14,NUMBER,2005,6
2005,BiH,15 - 19,NUMBER,2005,2007
2006,FBIH,13 - 14,NUMBER,2006,4
2006,FBIH,15 - 19,NUMBER,2006,1399
2006,RS,13 - 14,NUMBER,2006,3
2006,RS,15 - 19,NUMBER,2006,586
2006,BD,13 - 14,NUMBER,2006,1
2006,BD,15 - 19,NUMBER,2006,57
2006,BiH,13 - 14,NUMBER,2006,8
2006,BiH,15 - 19,NUMBER,2006,2042
2007,FBIH,13 - 14,NUMBER,2007,2
2007,FBIH,15 - 19,NUMBER,2007,1357
2007,RS,13 - 14,NUMBER,2007,3
2007,RS,15 - 19,NUMBER,2007,557
2007,BD,13 - 14,NUMBER,2007,2
2007,BD,15 - 19,NUMBER,2007,57
2007,BiH,13 - 14,NUMBER,2007,7
2007,BiH,15 - 19,NUMBER,2007,1971
2008,FBIH,13 - 14,NUMBER,2008,2
2008,FBIH,15 - 19,NUMBER,2008,1507
2008,RS,13 - 14,NUMBER,2008,4
2008,RS,15 - 19,NUMBER,2008,536
2008,BD,13 - 14,NUMBER,2008,7
2008,BD,15 - 19,NUMBER,2008,53
2008,BiH,13 - 14,NUMBER,2008,13
2008,BiH,15 - 19,NUMBER,2008,2096
2009,FBIH,13 - 14,NUMBER,2009,4
2009,FBIH,15 - 19,NUMBER,2009,1411
2009,RS,13 - 14,NUMBER,2009,3
2009,RS,15 - 19,NUMBER,2009,499
2009,BD,13 - 14,NUMBER,2009,5
2009,BD,15 - 19,NUMBER,2009,58
2009,BiH,13 - 14,NUMBER,2009,12
2009,BiH,15 - 19,NUMBER,2009,1968
2010,FBIH,13 - 14,NUMBER,2010,5
2010,FBIH,15 - 19,NUMBER,2010,1285
2010,RS,13 - 14,NUMBER,2010,0
2010,RS,15 - 19,NUMBER,2010,436
2010,BD,13 - 14,NUMBER,2010,3
2010,BD,15 - 19,NUMBER,2010,64
2010,BiH,13 - 14,NUMBER,2010,8
2010,BiH,15 - 19,NUMBER,2010,1785
