Year,UNIT_MEASURE,Пол,Године,Municipality,Value
2013,Број,Оба пола,Total,Sarajevo - Hadžići,23891
2013,Број,Мушкарци,Total,Sarajevo - Hadžići,11914
2013,Број,Жене,Total,Sarajevo - Hadžići,11977
2013,Број,Оба пола,Total,Han Pijesak,3530
2013,Број,Мушкарци,Total,Han Pijesak,1667
2013,Број,Жене,Total,Han Pijesak,1863
2013,Број,Оба пола,Total,Sarajevo - Ilidža,66730
2013,Број,Мушкарци,Total,Sarajevo - Ilidža,32359
2013,Број,Жене,Total,Sarajevo - Ilidža,34371
2013,Број,Оба пола,Total,Sarajevo - Ilijaš,19603
2013,Број,Мушкарци,Total,Sarajevo - Ilijaš,9381
2013,Број,Жене,Total,Sarajevo - Ilijaš,10222
2013,Број,Оба пола,Total,Istočna Ilidža,14763
2013,Број,Мушкарци,Total,Istočna Ilidža,7069
2013,Број,Жене,Total,Istočna Ilidža,7694
2013,Број,Оба пола,Total,Istočni Drvar,79
2013,Број,Мушкарци,Total,Istočni Drvar,53
2013,Број,Жене,Total,Istočni Drvar,26
2013,Број,Оба пола,Total,Istočni Mostar,257
2013,Број,Мушкарци,Total,Istočni Mostar,142
2013,Број,Жене,Total,Istočni Mostar,115
2013,Број,Оба пола,Total,Istočni Stari Grad,1131
2013,Број,Мушкарци,Total,Istočni Stari Grad,560
2013,Број,Жене,Total,Istočni Stari Grad,571
2013,Број,Оба пола,Total,Istočno Novo Sarajevo,10642
2013,Број,Мушкарци,Total,Istočno Novo Sarajevo,5058
2013,Број,Жене,Total,Istočno Novo Sarajevo,5584
2013,Број,Оба пола,Total,Jablanica,10111
2013,Број,Мушкарци,Total,Jablanica,5027
2013,Број,Жене,Total,Jablanica,5084
2013,Број,Оба пола,Total,Jajce,27258
2013,Број,Мушкарци,Total,Jajce,13856
2013,Број,Жене,Total,Jajce,13402
2013,Број,Оба пола,Total,Jezero,1144
2013,Број,Мушкарци,Total,Jezero,601
2013,Број,Жене,Total,Jezero,543
2013,Број,Оба пола,Total,Kakanj,37441
2013,Број,Мушкарци,Total,Kakanj,18651
2013,Број,Жене,Total,Kakanj,18790
2013,Број,Оба пола,Total,Kalesija,33053
2013,Број,Мушкарци,Total,Kalesija,16597
2013,Број,Жене,Total,Kalesija,16456
2013,Број,Оба пола,Total,Kalinovik,2029
2013,Број,Мушкарци,Total,Kalinovik,987
2013,Број,Жене,Total,Kalinovik,1042
2013,Број,Оба пола,Total,Kiseljak,20722
2013,Број,Мушкарци,Total,Kiseljak,10285
2013,Број,Жене,Total,Kiseljak,10437
2013,Број,Оба пола,Total,Kladanj,12348
2013,Број,Мушкарци,Total,Kladanj,6108
2013,Број,Жене,Total,Kladanj,6240
2013,Број,Оба пола,Total,Ključ,16744
2013,Број,Мушкарци,Total,Ključ,8365
2013,Број,Жене,Total,Ključ,8379
2013,Број,Оба пола,Total,Kneževo,9793
2013,Број,Мушкарци,Total,Kneževo,4892
2013,Број,Жене,Total,Kneževo,4901
2013,Број,Оба пола,Total,Konjic,25148
2013,Број,Мушкарци,Total,Konjic,12360
2013,Број,Жене,Total,Konjic,12788
2013,Број,Оба пола,Total,Kostajnica,5977
2013,Број,Мушкарци,Total,Kostajnica,2967
2013,Број,Жене,Total,Kostajnica,3010
2013,Број,Оба пола,Total,Kotor Varoš,19710
2013,Број,Мушкарци,Total,Kotor Varoš,9818
2013,Број,Жене,Total,Kotor Varoš,9892
2013,Број,Оба пола,Total,Kozarska Dubica,21524
2013,Број,Мушкарци,Total,Kozarska Dubica,10516
2013,Број,Жене,Total,Kozarska Dubica,11008
2013,Број,Оба пола,Total,Kreševo,5273
2013,Број,Мушкарци,Total,Kreševo,2597
2013,Број,Жене,Total,Kreševo,2676
2013,Број,Оба пола,Total,Krupa Na Uni,1597
2013,Број,Мушкарци,Total,Krupa Na Uni,862
2013,Број,Жене,Total,Krupa Na Uni,735
2013,Број,Оба пола,Total,Kupres - FBiH,5057
2013,Број,Мушкарци,Total,Kupres - FBiH,2541
2013,Број,Жене,Total,Kupres - FBiH,2516
2013,Број,Оба пола,Total,Kupres - RS,300
2013,Број,Мушкарци,Total,Kupres - RS,160
2013,Број,Жене,Total,Kupres - RS,140
2013,Број,Оба пола,Total,Laktaši,34966
2013,Број,Мушкарци,Total,Laktaši,17320
2013,Број,Жене,Total,Laktaši,17646
2013,Број,Оба пола,Total,Livno,34133
2013,Број,Мушкарци,Total,Livno,17024
2013,Број,Жене,Total,Livno,17109
2013,Број,Оба пола,Total,Lopare,15357
2013,Број,Мушкарци,Total,Lopare,7749
2013,Број,Жене,Total,Lopare,7608
2013,Број,Оба пола,Total,Lukavac,44520
2013,Број,Мушкарци,Total,Lukavac,21786
2013,Број,Жене,Total,Lukavac,22734
2013,Број,Оба пола,Total,Ljubinje,3511
2013,Број,Мушкарци,Total,Ljubinje,1725
2013,Број,Жене,Total,Ljubinje,1786
2013,Број,Оба пола,Total,Ljubuški,28184
2013,Број,Мушкарци,Total,Ljubuški,14022
2013,Број,Жене,Total,Ljubuški,14162
2013,Број,Оба пола,Total,Maglaj,23146
2013,Број,Мушкарци,Total,Maglaj,11430
2013,Број,Жене,Total,Maglaj,11716
2013,Број,Оба пола,Total,Milići,11441
2013,Број,Мушкарци,Total,Milići,5798
2013,Број,Жене,Total,Milići,5643
2013,Број,Оба пола,Total,Modriča,25720
2013,Број,Мушкарци,Total,Modriča,12561
2013,Број,Жене,Total,Modriča,13159
2013,Број,Оба пола,Total,Mostar,105797
2013,Број,Мушкарци,Total,Mostar,51210
2013,Број,Жене,Total,Mostar,54587
2013,Број,Оба пола,Total,Mrkonjić Grad,16671
2013,Број,Мушкарци,Total,Mrkonjić Grad,8096
2013,Број,Жене,Total,Mrkonjić Grad,8575
2013,Број,Оба пола,Total,Neum,4653
2013,Број,Мушкарци,Total,Neum,2344
2013,Број,Жене,Total,Neum,2309
2013,Број,Оба пола,Total,Nevesinje,12961
2013,Број,Мушкарци,Total,Nevesinje,6462
2013,Број,Жене,Total,Nevesinje,6499
2013,Број,Оба пола,Total,Novi Grad,27115
2013,Број,Мушкарци,Total,Novi Grad,13594
2013,Број,Жене,Total,Novi Grad,13521
2013,Број,Оба пола,Total,Sarajevo - Novi Grad,118553
2013,Број,Мушкарци,Total,Sarajevo - Novi Grad,55735
2013,Број,Жене,Total,Sarajevo - Novi Grad,62818
2013,Број,Оба пола,Total,Novi Travnik,23832
2013,Број,Мушкарци,Total,Novi Travnik,11862
2013,Број,Жене,Total,Novi Travnik,11970
2013,Број,Оба пола,Total,Novo Goražde,3117
2013,Број,Мушкарци,Total,Novo Goražde,1618
2013,Број,Жене,Total,Novo Goražde,1499
2013,Број,Оба пола,Total,Sarajevo - Novo Sarajevo,64814
2013,Број,Мушкарци,Total,Sarajevo - Novo Sarajevo,29580
2013,Број,Жене,Total,Sarajevo - Novo Sarajevo,35234
2013,Број,Оба пола,Total,Odžak,18821
2013,Број,Мушкарци,Total,Odžak,9373
2013,Број,Жене,Total,Odžak,9448
2013,Број,Оба пола,Total,Olovo,10175
2013,Број,Мушкарци,Total,Olovo,5084
2013,Број,Жене,Total,Olovo,5091
2013,Број,Оба пола,Total,Orašje,19861
2013,Број,Мушкарци,Total,Orašje,10059
2013,Број,Жене,Total,Orašje,9802
2013,Број,Оба пола,Total,Osmaci,6016
2013,Број,Мушкарци,Total,Osmaci,3065
2013,Број,Жене,Total,Osmaci,2951
2013,Број,Оба пола,Total,Oštra Luka,2786
2013,Број,Мушкарци,Total,Oštra Luka,1440
2013,Број,Жене,Total,Oštra Luka,1346
2013,Број,Оба пола,Total,Pale - FBiH,904
2013,Број,Мушкарци,Total,Pale - FBiH,456
2013,Број,Жене,Total,Pale - FBiH,448
2013,Број,Оба пола,Total,Pale - RS,20909
2013,Број,Мушкарци,Total,Pale - RS,10038
2013,Број,Жене,Total,Pale - RS,10871
2013,Број,Оба пола,Total,Pelagićevo,5220
2013,Број,Мушкарци,Total,Pelagićevo,2609
2013,Број,Жене,Total,Pelagićevo,2611
2013,Број,Оба пола,Total,Petrovac,361
2013,Број,Мушкарци,Total,Petrovac,172
2013,Број,Жене,Total,Petrovac,189
2013,Број,Оба пола,Total,Petrovo,6474
2013,Број,Мушкарци,Total,Petrovo,3124
2013,Број,Жене,Total,Petrovo,3350
2013,Број,Оба пола,Total,Posušje,20477
2013,Број,Мушкарци,Total,Posušje,10287
2013,Број,Жене,Total,Posušje,10190
2013,Број,Оба пола,Total,Prijedor,89397
2013,Број,Мушкарци,Total,Prijedor,43863
2013,Број,Жене,Total,Prijedor,45534
2013,Број,Оба пола,Total,Prnjavor,35956
2013,Број,Мушкарци,Total,Prnjavor,17572
2013,Број,Жене,Total,Prnjavor,18384
2013,Број,Оба пола,Total,Prozor,14280
2013,Број,Мушкарци,Total,Prozor,7210
2013,Број,Жене,Total,Prozor,7070
2013,Број,Оба пола,Total,Ravno,3219
2013,Број,Мушкарци,Total,Ravno,1657
2013,Број,Жене,Total,Ravno,1562
2013,Број,Оба пола,Total,Ribnik,6048
2013,Број,Мушкарци,Total,Ribnik,3009
2013,Број,Жене,Total,Ribnik,3039
2013,Број,Оба пола,Total,Rogatica,10723
2013,Број,Мушкарци,Total,Rogatica,5270
2013,Број,Жене,Total,Rogatica,5453
2013,Број,Оба пола,Total,Rudo,7963
2013,Број,Мушкарци,Total,Rudo,4050
2013,Број,Жене,Total,Rudo,3913
2013,Број,Оба пола,Total,Sanski Most,41475
2013,Број,Мушкарци,Total,Sanski Most,20826
2013,Број,Жене,Total,Sanski Most,20649
2013,Број,Оба пола,Total,Sapna,11178
2013,Број,Мушкарци,Total,Sapna,5739
2013,Број,Жене,Total,Sapna,5439
2013,Број,Оба пола,Total,Sokolac,12021
2013,Број,Мушкарци,Total,Sokolac,5919
2013,Број,Жене,Total,Sokolac,6102
2013,Број,Оба пола,Total,Srbac,17587
2013,Број,Мушкарци,Total,Srbac,8623
2013,Број,Жене,Total,Srbac,8964
2013,Број,Оба пола,Total,Srebrenica,13409
2013,Број,Мушкарци,Total,Srebrenica,6602
2013,Број,Жене,Total,Srebrenica,6807
2013,Број,Оба пола,Total,Srebrenik,39678
2013,Број,Мушкарци,Total,Srebrenik,19348
2013,Број,Жене,Total,Srebrenik,20330
2013,Број,Оба пола,Total,Sarajevo - Stari Grad,36976
2013,Број,Мушкарци,Total,Sarajevo - Stari Grad,17482
2013,Број,Жене,Total,Sarajevo - Stari Grad,19494
2013,Број,Оба пола,Total,Stolac,14502
2013,Број,Мушкарци,Total,Stolac,7326
2013,Број,Жене,Total,Stolac,7176
2013,Број,Оба пола,Total,Šamac,17273
2013,Број,Мушкарци,Total,Šamac,8385
2013,Број,Жене,Total,Šamac,8888
2013,Број,Оба пола,Total,Šekovići,6761
2013,Број,Мушкарци,Total,Šekovići,3360
