Year,UNIT_MEASURE,QUANTITY,Ентитет,Value
1997,Број,total_millions,BiH,3894
1998,Број,total_millions,BiH,4343
1999,Број,total_millions,BiH,4691
2000,Број,total_millions,BiH,4536
2001,Број,total_millions,BiH,4795
2002,Број,total_millions,BiH,5610
2003,Број,total_millions,BiH,7097
2004,Број,total_millions,BiH,8567
2005,Број,total_millions,BiH,11221
2006,Број,total_millions,BiH,12865
2007,Број,total_millions,BiH,15773
2008,Број,total_millions,BiH,19093
2009,Број,total_millions,BiH,17628
2010,Број,total_millions,BiH,17174
2011,Број,total_millions,BiH,18655
2012,Број,total_millions,BiH,17222
2013,Број,total_millions,BiH,18173
2014,Број,total_millions,BiH,18566
2015,Број,total_millions,BiH,16220
2016,Број,total_millions,BiH,16914
2017,Број,total_millions,BiH,18079
2018,Број,total_millions,BiH,20177
2019,Број,total_millions,BiH,20201
1997,Број,per_capita,BiH,1037
1998,Број,per_capita,BiH,1189
1999,Број,per_capita,BiH,1259
2000,Број,per_capita,BiH,1200
2001,Број,per_capita,BiH,1263
2002,Број,per_capita,BiH,1466
2003,Број,per_capita,BiH,1852
2004,Број,per_capita,BiH,2229
2005,Број,per_capita,BiH,3168
2006,Број,per_capita,BiH,3632
2007,Број,per_capita,BiH,4453
2008,Број,per_capita,BiH,5390
2009,Број,per_capita,BiH,4978
2010,Број,per_capita,BiH,4851
2011,Број,per_capita,BiH,5273
2012,Број,per_capita,BiH,4872
2013,Број,per_capita,BiH,5147
2014,Број,per_capita,BiH,5265
2015,Број,per_capita,BiH,4611
2016,Број,per_capita,BiH,4818
2017,Број,per_capita,BiH,5160
2018,Број,per_capita,BiH,5771
2019,Број,per_capita,BiH,5797
