Year,UNIT_MEASURE,Ентитет,Value
2006,_%,BiH,60.5
2006,_%,Федерација БиХ,59.0
2006,_%,Република Српска,63.6
2006,_%,Брчко Дистрикт БиХ,52.0
2011,_%,BiH,84.0
2011,_%,Федерација БиХ,81.5
2011,_%,Република Српска,88.9
2011,_%,Брчко Дистрикт БиХ,65.3
