Year,UNIT_MEASURE,Административно подручје,Value
1971,Број на 1000 бракова,BiH,88.2
1981,Број на 1000 бракова,BiH,93.3
1991,Број на 1000 бракова,BiH,56.3
1997,Број на 1000 бракова,BiH,79.0
1998,Број на 1000 бракова,BiH,87.7
1999,Број на 1000 бракова,BiH,88.8
2000,Број на 1000 бракова,BiH,88.1
2001,Број на 1000 бракова,BiH,104.7
2002,Број на 1000 бракова,BiH,112.9
2003,Број на 1000 бракова,BiH,92.5
2004,Број на 1000 бракова,BiH,68.4
2005,Број на 1000 бракова,BiH,81.3
2006,Број на 1000 бракова,BiH,77.2
2007,Број на 1000 бракова,BiH,77.7
2008,Број на 1000 бракова,BiH,61.8
2009,Број на 1000 бракова,BiH,68.0
2010,Број на 1000 бракова,BiH,85.8
2011,Број на 1000 бракова,BiH,120.5
2012,Број на 1000 бракова,BiH,125.8
2013,Број на 1000 бракова,BiH,148.1
2014,Број на 1000 бракова,BiH,144.1
2015,Број на 1000 бракова,BiH,150.5
2016,Број на 1000 бракова,BiH,143.9
2017,Број на 1000 бракова,BiH,151.3
2018,Број на 1000 бракова,BiH,155.2
2019,Број на 1000 бракова,BiH,147.2
