Year,UNIT_MEASURE,Пол,Старосна доб,Value
2016,% од укупно,M,25-34,16.4
2016,% од укупно,Ж,25-34,16.8
2016,% од укупно,M,35-44,9.7
2016,% од укупно,Ж,35-45,8.8
2016,% од укупно,M,45-54,6.2
2016,% од укупно,Ж,45-54,5.6
2016,% од укупно,M,55-64,3.0
2016,% од укупно,Ж,55-64,2.2
