Year,UNIT_MEASURE,Административно подручје,Value
1971,Старосна доб,BiH,22.2
1981,Старосна доб,BiH,23.0
2004,Старосна доб,BiH,24.34
2005,Старосна доб,BiH,24.41
2006,Старосна доб,BiH,24.51
2007,Старосна доб,BiH,24.76
2008,Старосна доб,BiH,24.94
2009,Старосна доб,BiH,25.25
2010,Старосна доб,BiH,25.87
2011,Старосна доб,BiH,26.25
2012,Старосна доб,BiH,26.45
2013,Старосна доб,BiH,26.69
2014,Старосна доб,BiH,26.97
2015,Старосна доб,BiH,27.17
2016,Старосна доб,BiH,26.96
2017,Старосна доб,BiH,27.28
2018,Старосна доб,BiH,27.4
2019,Старосна доб,BiH,27.68
