Year,UNIT_MEASURE,Административно подручје,Value
2007,Број,Федерација БиХ,14.97
2008,Број,Федерација БиХ,11.02
2009,Број,Федерација БиХ,14.89
2010,Број,Федерација БиХ,12.65
2011,Број,Федерација БиХ,10.31
2012,Број,Федерација БиХ,14.78
2013,Број,Федерација БиХ,8.41
2014,Број,Федерација БиХ,14.36
2015,Број,Федерација БиХ,13.44
2016,Број,Федерација БиХ,19.13
2017,Број,Федерација БиХ,10.26
