Year,UNIT_MEASURE,Пол,Старосна доб,Value
2018,% од укупно,Оба пола,48,1.29
2018,% од укупно,Оба пола,49,1.39
2018,% од укупно,Оба пола,50,1.4
2018,% од укупно,Оба пола,51,1.43
2018,% од укупно,Оба пола,52,1.48
2018,% од укупно,Оба пола,53,1.52
2018,% од укупно,Оба пола,54,1.48
2018,% од укупно,Оба пола,55,1.5
2018,% од укупно,Оба пола,56,1.54
2018,% од укупно,Оба пола,57,1.54
2018,% од укупно,Оба пола,58,1.54
2018,% од укупно,Оба пола,59,1.49
2018,% од укупно,Оба пола,60,1.5
2018,% од укупно,Оба пола,61,1.36
2018,% од укупно,Оба пола,62,1.43
2018,% од укупно,Оба пола,63,1.39
2018,% од укупно,Оба пола,64,1.42
2018,% од укупно,Оба пола,65,1.32
2018,% од укупно,Оба пола,66,1.32
2018,% од укупно,Оба пола,67,1.06
2018,% од укупно,Оба пола,68,1.13
2018,% од укупно,Оба пола,69,1.09
2018,% од укупно,Оба пола,70,0.95
2018,% од укупно,Оба пола,71,0.92
2018,% од укупно,Оба пола,72,0.82
2018,% од укупно,Оба пола,73,0.64
2018,% од укупно,Оба пола,74,0.6
2018,% од укупно,Оба пола,75,0.6
2018,% од укупно,Оба пола,76,0.61
2018,% од укупно,Оба пола,77,0.65
2018,% од укупно,Оба пола,78,0.68
2018,% од укупно,Оба пола,79,0.62
2018,% од укупно,Оба пола,80,0.57
2018,% од укупно,Оба пола,81,0.51
2018,% од укупно,Оба пола,82,0.46
2018,% од укупно,Оба пола,83,0.39
2018,% од укупно,Оба пола,84,0.33
2018,% од укупно,Оба пола,85,0.28
2018,% од укупно,Оба пола,86,0.22
2018,% од укупно,Оба пола,87,0.17
2018,% од укупно,Оба пола,88,0.15
2018,% од укупно,Оба пола,89,0.1
2018,% од укупно,Оба пола,90,0.09
2018,% од укупно,Оба пола,91,0.05
2018,% од укупно,Оба пола,92,0.04
2018,% од укупно,Оба пола,93,0.03
2018,% од укупно,Оба пола,94,0.02
2018,% од укупно,Оба пола,95,0.01
2018,% од укупно,Оба пола,96,0.01
2018,% од укупно,Оба пола,97,0.0
2018,% од укупно,Оба пола,98,0.0
2018,% од укупно,Оба пола,99,0.0
2018,% од укупно,Оба пола,100,0.0
2018,% од укупно,Оба пола,101,0.0
2018,% од укупно,Оба пола,102,0.0
2018,% од укупно,Оба пола,103,0.0
2018,% од укупно,Оба пола,104,0.0
2018,% од укупно,Оба пола,105,0.0
2018,% од укупно,Оба пола,106,0.0
2018,% од укупно,Оба пола,107,0.0
2018,% од укупно,Оба пола,108,0.0
2018,% од укупно,Оба пола,109,0.0
2018,% од укупно,Оба пола,110,0.0
2018,% од укупно,Оба пола,111,0.0
2018,% од укупно,Оба пола,112,0.0
2018,% од укупно,Оба пола,113,0.0
2018,% од укупно,Оба пола,114,0.0
2018,% од укупно,Оба пола,115,0.0
