Year,UNIT_MEASURE,Value
2020,Број на 1.000 становника,8.6
2025,Број на 1.000 становника,7.9
2030,Број на 1.000 становника,7.3
2035,Број на 1.000 становника,6.6
2040,Број на 1.000 становника,6.6
2045,Број на 1.000 становника,6.5
2050,Број на 1.000 становника,6.4
2055,Број на 1.000 становника,6.3
2060,Број на 1.000 становника,6.2
2065,Број на 1.000 становника,6.1
2070,Број на 1.000 становника,6.1
