Year,UNIT_MEASURE,Пол,Value
2010,_%,Мушкарци,28.1
2011,_%,Мушкарци,29.2
2012,_%,Мушкарци,30.5
2013,_%,Мушкарци,27.4
2014,_%,Мушкарци,27.9
2015,_%,Мушкарци,29.2
2016,_%,Мушкарци,28.0
2017,_%,Мушкарци,24.5
2018,_%,Мушкарци,22.1
2010,_%,Жене,28.0
2011,_%,Жене,26.1
2012,_%,Жене,26.2
2013,_%,Жене,24.1
2014,_%,Жене,24.0
2015,_%,Жене,26.0
2016,_%,Жене,24.7
2017,_%,Жене,24.0
2018,_%,Жене,21.1
