Year,UNIT_MEASURE,Value
2005,Број,351.0
2006,Број,331.0
2007,Број,918.0
2008,Број,852.0
2010,Број,876.0
2011,Број,852.0
2012,Број,488.0
2013,Број,307.0
2014,Број,208.0
2015,Број,538.0
2016,Број,1023.0
2017,Број,556.0
