Year,UNIT_MEASURE,Ентитет,Value
2005,Број,Република Српска,47.28
2006,Број,Република Српска,44.67
2007,Број,FBiH,43.82
2007,Број,Република Српска,53.73
2008,Број,FBiH,35.76
2008,Број,Република Српска,57.88
2009,Број,FBiH,47.12
2009,Број,Република Српска,54.71
2010,Број,FBiH,38.95
2010,Број,Република Српска,55.88
2011,Број,FBiH,35.14
2011,Број,Република Српска,59.01
2012,Број,FBiH,41.44
2013,Број,FBiH,26.08
2014,Број,FBiH,17.67
2015,Број,FBiH,45.75
2016,Број,FBiH,51.07
2016,Број,Република Српска,75.83
2017,Број,FBiH,49.6
