Year,UNIT_MEASURE,Ентитет,Value
1999,Број,BiH,1754
1999,Број,Република Српска,1754
2000,Број,BiH,1716
2000,Број,Република Српска,1716
2001,Број,BiH,1731
2001,Број,Република Српска,1731
2002,Број,BiH,1786
2002,Број,Република Српска,1786
2003,Број,BiH,1802
2003,Број,Република Српска,1802
2004,Број,BiH,1838
2004,Број,Република Српска,1838
2005,Број,BiH,5540
2005,Број,FBiH,3683
2005,Број,Република Српска,1857
2006,Број,BiH,5684
2006,Број,FBiH,3767
2006,Број,Република Српска,1917
2007,Број,BiH,5967
2007,Број,FBiH,3979
2007,Број,Република Српска,1988
2008,Број,BiH,6165
2008,Број,FBiH,4117
2008,Број,Република Српска,2048
2009,Број,BiH,6369
2009,Број,FBiH,4268
2009,Број,Република Српска,2101
2010,Број,BiH,6540
2010,Број,FBiH,4355
2010,Број,Република Српска,2185
2011,Број,BiH,6729
2011,Број,FBiH,4443
2011,Број,Република Српска,2286
2012,Број,BiH,6874
2012,Број,FBiH,4519
2012,Број,Република Српска,2355
2013,Број,BiH,7068
2013,Број,FBiH,4625
2013,Број,Република Српска,2443
2014,Број,BiH,7272
2014,Број,FBiH,4801
2014,Број,Република Српска,2471
2015,Број,BiH,7255
2015,Број,FBiH,4764
2015,Број,Република Српска,2491
2016,Број,BiH,7285
2016,Број,FBiH,4755
2016,Број,Република Српска,2530
2017,Број,BiH,7330
2017,Број,FBiH,4810
2017,Број,Република Српска,2520
2018,Број,BiH,7653
2018,Број,FBiH,4922
2018,Број,Република Српска,2588
2019,Број,BiH,5092
2019,Број,FBiH,5092
2018,Број,Брчко Дистрикт БиХ,143
