Year,UNIT_MEASURE,Value
2005,Broj,351.0
2006,Broj,331.0
2007,Broj,918.0
2008,Broj,852.0
2010,Broj,876.0
2011,Broj,852.0
2012,Broj,488.0
2013,Broj,307.0
2014,Broj,208.0
2015,Broj,538.0
2016,Broj,1023.0
2017,Broj,556.0
