Year,Value,UNIT_MEASURE
1997,6752,BAM
1998,7650,BAM
1999,8604,BAM
2000,9611,BAM
2001,10480,BAM
2002,11651,BAM
2003,12303,BAM
2004,13497,BAM
2005,17649,BAM
2006,20056,BAM
2007,22548,BAM
2008,25519,BAM
2009,24799,BAM
2010,25365,BAM
2011,26231,BAM
2012,26223,BAM
2013,26779,BAM
2014,27358,BAM
2015,28589,BAM
2016,29905,BAM
2017,31377,BAM
2018,33445,BAM
2019,35295,BAM
1997,3424,EUR
1998,3879,EUR
1999,4399,EUR
2000,4914,EUR
2001,5358,EUR
2002,5957,EUR
2003,6291,EUR
2004,6901,EUR
2005,9025,EUR
2006,10255,EUR
2007,11529,EUR
2008,13048,EUR
2009,12679,EUR
2010,12969,EUR
2011,13412,EUR
2012,13408,EUR
2013,13692,EUR
2014,13989,EUR
2015,14618,EUR
2016,15290,EUR
2017,16043,EUR
2018,17100,EUR
2019,18047,EUR
1997,3894,USD
1998,4343,USD
1999,4691,USD
2000,4536,USD
2001,4795,USD
2002,5610,USD
2003,7097,USD
2004,8567,USD
2005,11221,USD
2006,12865,USD
2007,15773,USD
2008,19093,USD
2009,17628,USD
2010,17174,USD
2011,18655,USD
2012,17222,USD
2013,18173,USD
2014,18566,USD
2015,16220,USD
2016,16914,USD
2017,18079,USD
2018,20177,USD
2019,20201,USD
