Year,Value,UNIT_MEASURE
1989,15.5,Broj na 1.000 stanovnika
1990,15.4,Broj na 1.000 stanovnika
1991,14.9,Broj na 1.000 stanovnika
1996,12.8,Broj na 1.000 stanovnika
1997,12.9,Broj na 1.000 stanovnika
1998,12.3,Broj na 1.000 stanovnika
1999,11.4,Broj na 1.000 stanovnika
2000,10.5,Broj na 1.000 stanovnika
2001,9.9,Broj na 1.000 stanovnika
2002,9.3,Broj na 1.000 stanovnika
2003,9.2,Broj na 1.000 stanovnika
2004,9.1,Broj na 1.000 stanovnika
2005,9.0,Broj na 1.000 stanovnika
2006,8.9,Broj na 1.000 stanovnika
2007,8.8,Broj na 1.000 stanovnika
2008,8.9,Broj na 1.000 stanovnika
2009,9.0,Broj na 1.000 stanovnika
2010,8.7,Broj na 1.000 stanovnika
2011,8.3,Broj na 1.000 stanovnika
2012,8.5,Broj na 1.000 stanovnika
2013,8.7,Broj na 1.000 stanovnika
2014,8.6,Broj na 1.000 stanovnika
2015,8.5,Broj na 1.000 stanovnika
2016,8.6,Broj na 1.000 stanovnika
2017,8.6,Broj na 1.000 stanovnika
2018,8.4,Broj na 1.000 stanovnika
2019,8.1,Broj na 1.000 stanovnika
