Year,Value,UNIT_MEASURE
1971,88.2,Broj na 1000 brakova
1981,93.3,Broj na 1000 brakova
1991,56.3,Broj na 1000 brakova
1997,79.0,Broj na 1000 brakova
1998,87.7,Broj na 1000 brakova
1999,88.8,Broj na 1000 brakova
2000,88.1,Broj na 1000 brakova
2001,104.7,Broj na 1000 brakova
2002,112.9,Broj na 1000 brakova
2003,92.5,Broj na 1000 brakova
2004,68.4,Broj na 1000 brakova
2005,81.3,Broj na 1000 brakova
2006,77.2,Broj na 1000 brakova
2007,77.7,Broj na 1000 brakova
2008,61.8,Broj na 1000 brakova
2009,68.0,Broj na 1000 brakova
2010,85.8,Broj na 1000 brakova
2011,120.5,Broj na 1000 brakova
2012,125.8,Broj na 1000 brakova
2013,148.1,Broj na 1000 brakova
2014,144.1,Broj na 1000 brakova
2015,150.5,Broj na 1000 brakova
2016,143.9,Broj na 1000 brakova
2017,151.3,Broj na 1000 brakova
2018,155.2,Broj na 1000 brakova
2019,147.2,Broj na 1000 brakova
