Year,UNIT_MEASURE,Test,Value
2006,% od ukupno,BiH,23.3
2006,% od ukupno,Federacija BiH,23.3
2006,% od ukupno,Republika Srpska,23.3
2006,% od ukupno,Brčko distrikt BiH,21.3
2011,% od ukupno,BiH,9.0
2011,% od ukupno,Federacija BiH,9.9
2011,% od ukupno,Republika Srpska,6.7
2011,% od ukupno,Brčko distrikt BiH,13.1
