Year,UNIT_MEASURE,Value
2007,Број,4656.72
2008,Број,4654.39
2009,Број,4416.16
2010,Број,4219.6
2011,Број,4531.53
2012,Број,3943.13
2013,Број,3514.59
2014,Број,3482.45
2015,Број,3468.57
2016,Број,3263.66
2017,Број,2994.82
2018,Број,2752.17
2019,Број,2508.7
