Year,UNIT_MEASURE,Value
1999,Број,1754
2000,Број,1716
2001,Број,1731
2002,Број,1786
2003,Број,1802
2004,Број,1838
2005,Број,5540
2006,Број,5684
2007,Број,5967
2008,Број,6165
2009,Број,6369
2010,Број,6540
2011,Број,6729
2012,Број,6874
2013,Број,7068
2014,Број,7272
2015,Број,7255
2016,Број,7285
2017,Број,7330
2018,Број,7653
2019,Број,5092
