Year,UNIT_MEASURE,Administrative area,Value
1999,Number,Republika Srpska,147.0
2000,Number,Republika Srpska,143.0
2001,Number,Republika Srpska,145.0
2002,Number,Republika Srpska,150.0
2003,Number,Republika Srpska,151.0
2004,Number,Republika Srpska,154.0
2005,Number,FBiH,158.0
2005,Number,Republika Srpska,128.39
2006,Number,FBiH,162.02
2006,Number,Republika Srpska,132.78
2007,Number,FBiH,170.89
2007,Number,Republika Srpska,138.09
2008,Number,FBiH,176.91
2008,Number,Republika Srpska,142.47
2009,Number,FBiH,183.39
2009,Number,Republika Srpska,146.39
2010,Number,FBiH,186.3
2010,Number,Republika Srpska,152.47
2011,Number,FBiH,190.01
2011,Number,Republika Srpska,159.9
2012,Number,FBiH,193.26
2012,Number,Republika Srpska,164.77
2013,Number,FBiH,197.89
2013,Number,Republika Srpska,171.37
2014,Number,FBiH,205.46
2014,Number,Republika Srpska,173.85
2015,Number,FBiH,204.08
2015,Number,Republika Srpska,214.34
2016,Number,FBiH,215.53
2016,Number,Republika Srpska,218.57
2017,Number,FBiH,218.52
2017,Number,Republika Srpska,218.56
2018,Number,FBiH,224.11
2018,Number,Republika Srpska,225.45
2019,Number,FBiH,232.5
2018,Number,Brčko District of BiH,171.8
