Year,UNIT_MEASURE,Value
2020,number_birth_rate,8.6
2025,number_birth_rate,7.9
2030,number_birth_rate,7.3
2035,number_birth_rate,6.6
2040,number_birth_rate,6.6
2045,number_birth_rate,6.5
2050,number_birth_rate,6.4
2055,number_birth_rate,6.3
2060,number_birth_rate,6.2
2065,number_birth_rate,6.1
2070,number_birth_rate,6.1
