Year,UNIT_MEASURE,Године,Пол,Municipality,Value
2013,Број,0-4,Жене,Pale - FBIH,17
2013,Број,0-4,Жене,Pale - RS,442
2013,Број,0-4,Жене,Pelagićevo,68
2013,Број,0-4,Жене,Petrovac,5
2013,Број,0-4,Жене,Petrovo,118
2013,Број,0-4,Жене,Posušje,595
2013,Број,0-4,Жене,Prijedor,1663
2013,Број,0-4,Жене,Prnjavor,788
2013,Број,0-4,Жене,Prozor,346
2013,Број,0-4,Жене,Ravno,58
2013,Број,0-4,Жене,Ribnik,124
2013,Број,0-4,Жене,Rogatica,262
2013,Број,0-4,Жене,Rudo,136
2013,Број,0-4,Жене,Sanski Most,831
2013,Број,0-4,Жене,Sapna,330
2013,Број,0-4,Жене,Sokolac,244
2013,Број,0-4,Жене,Srbac,424
2013,Број,0-4,Жене,Srebrenica,261
2013,Број,0-4,Жене,Srebrenik,1085
2013,Број,0-4,Жене,Sarajevo - Stari Grad,788
2013,Број,0-4,Жене,Stolac,313
2013,Број,0-4,Жене,Šamac,295
2013,Број,0-4,Жене,Šekovići,119
2013,Број,0-4,Жене,Šipovo,197
2013,Број,0-4,Жене,Široki Brijeg,762
2013,Број,0-4,Жене,Teočak,159
2013,Број,0-4,Жене,Teslić,921
2013,Број,0-4,Жене,Tešanj,1301
2013,Број,0-4,Жене,Tomislavgrad,735
2013,Број,0-4,Жене,Travnik,1334
2013,Број,0-4,Жене,Trebinje,662
2013,Број,0-4,Жене,Trnovo - FBIH,28
2013,Број,0-4,Жене,Trnovo - RS,36
2013,Број,0-4,Жене,Tuzla,2439
2013,Број,0-4,Жене,Ugljevik,307
2013,Број,0-4,Жене,Usora,130
2013,Број,0-4,Жене,Vareš,128
2013,Број,0-4,Жене,Velika Kladuša,1323
2013,Број,0-4,Жене,Visoko,1131
2013,Број,0-4,Жене,Višegrad,180
2013,Број,0-4,Жене,Vitez,690
2013,Број,0-4,Жене,Vlasenica,231
2013,Број,0-4,Жене,Sarajevo - Vogošća,763
2013,Број,0-4,Жене,Vukosavlje,100
2013,Број,0-4,Жене,Zavidovići,992
2013,Број,0-4,Жене,Zenica,2968
2013,Број,0-4,Жене,Zvornik,1516
2013,Број,0-4,Жене,Žepče,779
2013,Број,0-4,Жене,Živinice,1611
2013,Број,5-9,Жене,Banja Luka,4276
2013,Број,5-9,Жене,Banovići,589
2013,Број,5-9,Жене,Berkovići,57
2013,Број,5-9,Жене,Bihać,1390
2013,Број,5-9,Жене,Bijeljina,2477
2013,Број,5-9,Жене,Bileća,220
2013,Број,5-9,Жене,Bosanska Krupa,747
2013,Број,5-9,Жене,Bosanski Petrovac,166
2013,Број,5-9,Жене,Bosansko Grahovo,20
2013,Број,5-9,Жене,Bratunac,537
2013,Број,5-9,Жене,Brčko,2077
2013,Број,5-9,Жене,Breza,318
2013,Број,5-9,Жене,Brod,339
2013,Број,5-9,Жене,Bugojno,788
2013,Број,5-9,Жене,Busovača,506
2013,Број,5-9,Жене,Bužim,670
2013,Број,5-9,Жене,Cazin,2045
2013,Број,5-9,Жене,Sarajevo - Centar,1161
2013,Број,5-9,Жене,Čajniče,113
2013,Број,5-9,Жене,Čapljina,656
2013,Број,5-9,Жене,Čelić,286
2013,Број,5-9,Жене,Čelinac,359
2013,Број,5-9,Жене,Čitluk,540
2013,Број,5-9,Жене,Derventa,586
2013,Број,5-9,Жене,Doboj,1664
2013,Број,5-9,Жене,Doboj-Istok,279
2013,Број,5-9,Жене,Doboj-Jug,133
2013,Број,5-9,Жене,Dobretići,24
2013,Број,5-9,Жене,Domaljevac-Šamac,128
2013,Број,5-9,Жене,Donji Vakuf,435
2013,Број,5-9,Жене,Donji Žabar,82
2013,Број,5-9,Жене,Drvar,120
2013,Број,5-9,Жене,Foča - FBIH,34
2013,Број,5-9,Жене,Foča - RS,362
2013,Број,5-9,Жене,Fojnica,304
2013,Број,5-9,Жене,Gacko,203
2013,Број,5-9,Жене,Glamoč,80
2013,Број,5-9,Жене,Goražde,387
2013,Број,5-9,Жене,Gornji Vakuf-Uskoplje,612
2013,Број,5-9,Жене,Gračanica,1231
2013,Број,5-9,Жене,Gradačac,1055
2013,Број,5-9,Жене,Gradiška,1127
2013,Број,5-9,Жене,Grude,470
2013,Број,5-9,Жене,Sarajevo - Hadžići,635
2013,Број,5-9,Жене,Han Pijesak,63
2013,Број,5-9,Жене,Sarajevo - Ilidža,1768
2013,Број,5-9,Жене,Sarajevo - Ilijaš,564
2013,Број,5-9,Жене,Istočna Ilidža,358
2013,Број,5-9,Жене,Istočni Drvar,0
2013,Број,5-9,Жене,Istočni Mostar,9
2013,Број,Total,Мушкарци,Banja Luka,89148
2013,Број,Total,Мушкарци,Banovići,11392
2013,Број,Total,Мушкарци,Berkovići,1059
2013,Број,Total,Мушкарци,Bihać,27041
2013,Број,Total,Мушкарци,Bijeljina,52827
2013,Број,Total,Мушкарци,Bileća,5454
2013,Број,Total,Мушкарци,Bosanska Krupa,12548
2013,Број,Total,Мушкарци,Bosanski Petrovac,3678
2013,Број,Total,Мушкарци,Bosansko Grahovo,1287
2013,Број,Total,Мушкарци,Bratunac,10091
2013,Број,Total,Мушкарци,Brčko,41250
2013,Број,Total,Мушкарци,Breza,6952
2013,Број,Total,Мушкарци,Brod,8143
2013,Број,Total,Мушкарци,Bugojno,15635
2013,Број,Total,Мушкарци,Busovača,9134
2013,Број,Total,Мушкарци,Bužim,9885
2013,Број,Total,Мушкарци,Cazin,33072
2013,Број,Total,Мушкарци,Sarajevo - Centar,25369
2013,Број,Total,Мушкарци,Čajniče,2474
2013,Број,Total,Мушкарци,Čapljina,12947
2013,Број,Total,Мушкарци,Čelić,5256
2013,Број,Total,Мушкарци,Čelinac,7728
2013,Број,Total,Мушкарци,Čitluk,8937
2013,Број,Total,Мушкарци,Derventa,13397
2013,Број,Total,Мушкарци,Doboj,34916
2013,Број,Total,Мушкарци,Doboj-Istok,5061
2013,Број,Total,Мушкарци,Doboj-Jug,2065
2013,Број,Total,Мушкарци,Dobretići,905
2013,Број,Total,Мушкарци,Domaljevac-Šamac,2373
2013,Број,Total,Мушкарци,Donji Vakuf,6922
2013,Број,Total,Мушкарци,Donji Žabar,1920
2013,Број,Total,Мушкарци,Drvar,3473
2013,Број,Total,Мушкарци,Foča - FBIH,998
2013,Број,Total,Мушкарци,Foča - RS,9236
2013,Број,Total,Мушкарци,Fojnica,6197
2013,Број,Total,Мушкарци,Gacko,4556
2013,Број,Total,Мушкарци,Glamoč,1963
2013,Број,Total,Мушкарци,Goražde,10163
2013,Број,Total,Мушкарци,Gornji Vakuf-Uskoplje,10532
2013,Број,Total,Мушкарци,Gračanica,21641
2013,Број,Total,Мушкарци,Gradačac,19234
2013,Број,Total,Мушкарци,Gradiška,25271
2013,Број,Total,Мушкарци,Grude,8621
2013,Број,Total,Мушкарци,Sarajevo - Hadžići,11914
2013,Број,Total,Мушкарци,Han Pijesak,1667
2013,Број,Total,Мушкарци,Sarajevo - Ilidža,32359
2013,Број,Total,Мушкарци,Sarajevo - Ilijaš,9381
2013,Број,Total,Мушкарци,Istočna Ilidža,7069
2013,Број,Total,Мушкарци,Istočni Drvar,53
2013,Број,Total,Мушкарци,Istočni Mostar,142
2013,Број,Total,Мушкарци,Istočni Stari Grad,560
2013,Број,Total,Мушкарци,Istočno Novo Sarajevo,5058
2013,Број,Total,Мушкарци,Jablanica,5027
2013,Број,Total,Мушкарци,Jajce,13856
2013,Број,Total,Мушкарци,Jezero,601
2013,Број,Total,Мушкарци,Kakanj,18651
2013,Број,Total,Мушкарци,Kalesija,16597
2013,Број,Total,Мушкарци,Kalinovik,987
2013,Број,Total,Мушкарци,Kiseljak,10285
2013,Број,Total,Мушкарци,Kladanj,6108
2013,Број,Total,Мушкарци,Ključ,8365
2013,Број,Total,Мушкарци,Kneževo,4892
2013,Број,Total,Мушкарци,Konjic,12360
2013,Број,Total,Мушкарци,Kostajnica,2967
2013,Број,Total,Мушкарци,Kotor Varoš,9818
2013,Број,Total,Мушкарци,Kozarska Dubica,10516
2013,Број,Total,Мушкарци,Kreševo,2597
2013,Број,Total,Мушкарци,Krupa Na Uni,862
2013,Број,Total,Мушкарци,Kupres - FBIH,2541
2013,Број,Total,Мушкарци,Kupres - RS,160
2013,Број,Total,Мушкарци,Laktaši,17320
2013,Број,Total,Мушкарци,Livno,17024
2013,Број,Total,Мушкарци,Lopare,7749
2013,Број,Total,Мушкарци,Lukavac,21786
2013,Број,Total,Мушкарци,Ljubinje,1725
2013,Број,Total,Мушкарци,Ljubuški,14022
2013,Број,Total,Мушкарци,Maglaj,11430
2013,Број,Total,Мушкарци,Milići,5798
2013,Број,Total,Мушкарци,Modriča,12561
2013,Број,Total,Мушкарци,Mostar,51210
2013,Број,Total,Мушкарци,Mrkonjić Grad,8096
2013,Број,Total,Мушкарци,Neum,2344
2013,Број,Total,Мушкарци,Nevesinje,6462
2013,Број,Total,Мушкарци,Novi Grad,13594
2013,Број,Total,Мушкарци,Sarajevo - Novi Grad,55735
2013,Број,Total,Мушкарци,Novi Travnik,11862
2013,Број,Total,Мушкарци,Novo Goražde,1618
2013,Број,Total,Мушкарци,Sarajevo - Novo Sarajevo,29580
2013,Број,Total,Мушкарци,Odžak,9373
2013,Број,Total,Мушкарци,Olovo,5084
2013,Број,Total,Мушкарци,Orašje,10059
2013,Број,Total,Мушкарци,Osmaci,3065
2013,Број,Total,Мушкарци,Oštra Luka,1440
2013,Број,Total,Мушкарци,Pale - FBIH,456
2013,Број,Total,Мушкарци,Pale - RS,10038
2013,Број,Total,Мушкарци,Pelagićevo,2609
2013,Број,Total,Мушкарци,Petrovac,172
2013,Број,Total,Мушкарци,Petrovo,3124
2013,Број,Total,Мушкарци,Posušje,10287
2013,Број,Total,Мушкарци,Prijedor,43863
2013,Број,Total,Мушкарци,Prnjavor,17572
2013,Број,Total,Мушкарци,Prozor,7210
2013,Број,Total,Мушкарци,Ravno,1657
2013,Број,Total,Мушкарци,Ribnik,3009
2013,Број,Total,Мушкарци,Rogatica,5270
2013,Број,Total,Мушкарци,Rudo,4050
2013,Број,Total,Мушкарци,Sanski Most,20826
2013,Број,Total,Мушкарци,Sapna,5739
2013,Број,Total,Мушкарци,Sokolac,5919
2013,Број,Total,Мушкарци,Srbac,8623
2013,Број,Total,Мушкарци,Srebrenica,6602
2013,Број,Total,Мушкарци,Srebrenik,19348
2013,Број,Total,Мушкарци,Sarajevo - Stari Grad,17482
2013,Број,Total,Мушкарци,Stolac,7326
2013,Број,Total,Мушкарци,Šamac,8385
2013,Број,Total,Мушкарци,Šekovići,3360
2013,Број,Total,Мушкарци,Šipovo,5221
2013,Број,Total,Мушкарци,Široki Brijeg,14381
2013,Број,Total,Мушкарци,Teočak,3767
2013,Број,Total,Мушкарци,Teslić,18679
2013,Број,Total,Мушкарци,Tešanj,21376
2013,Број,Total,Мушкарци,Tomislavgrad,16055
2013,Број,Total,Мушкарци,Travnik,26574
2013,Број,Total,Мушкарци,Trebinje,14251
2013,Број,Total,Мушкарци,Trnovo - FBIH,735
2013,Број,Total,Мушкарци,Trnovo - RS,989
2013,Број,Total,Мушкарци,Tuzla,52745
2013,Број,Total,Мушкарци,Ugljevik,7937
2013,Број,Total,Мушкарци,Usora,3266
2013,Број,Total,Мушкарци,Vareš,4373
2013,Број,Total,Мушкарци,Velika Kladuša,19889
2013,Број,Total,Мушкарци,Visoko,19705
2013,Број,Total,Мушкарци,Višegrad,5106
2013,Број,Total,Мушкарци,Vitez,12767
2013,Број,Total,Мушкарци,Vlasenica,5638
2013,Број,Total,Мушкарци,Sarajevo - Vogošća,12606
2013,Број,Total,Мушкарци,Vukosavlje,2340
2013,Број,Total,Мушкарци,Zavidovići,17883
2013,Број,Total,Мушкарци,Zenica,54660
2013,Број,Total,Мушкарци,Zvornik,29270
2013,Број,Total,Мушкарци,Žepče,15335
2013,Број,Total,Мушкарци,Živinice,28714
2013,Број,0-4,Мушкарци,Banja Luka,4898
2013,Број,0-4,Мушкарци,Banovići,614
2013,Број,0-4,Мушкарци,Berkovići,45
2013,Број,0-4,Мушкарци,Bihać,1361
2013,Број,0-4,Мушкарци,Bijeljina,2637
2013,Број,0-4,Мушкарци,Bileća,255
2013,Број,0-4,Мушкарци,Bosanska Krupa,735
2013,Број,0-4,Мушкарци,Bosanski Petrovac,126
2013,Број,0-4,Мушкарци,Bosansko Grahovo,39
2013,Број,0-4,Мушкарци,Bratunac,509
2013,Број,0-4,Мушкарци,Brčko,2178
2013,Број,0-4,Мушкарци,Breza,348
2013,Број,0-4,Мушкарци,Brod,402
2013,Број,0-4,Мушкарци,Bugojno,786
2013,Број,0-4,Мушкарци,Busovača,494
2013,Број,0-4,Мушкарци,Bužim,732
2013,Број,0-4,Мушкарци,Cazin,2050
2013,Број,0-4,Мушкарци,Sarajevo - Centar,1308
2013,Број,0-4,Мушкарци,Čajniče,85
2013,Број,0-4,Мушкарци,Čapljina,628
2013,Број,0-4,Мушкарци,Čelić,229
2013,Број,0-4,Мушкарци,Čelinac,399
2013,Број,0-4,Мушкарци,Čitluk,480
2013,Број,0-4,Мушкарци,Derventa,580
2013,Број,0-4,Мушкарци,Doboj,1695
2013,Број,0-4,Мушкарци,Doboj-Istok,292
2013,Број,0-4,Мушкарци,Doboj-Jug,120
2013,Број,0-4,Мушкарци,Dobretići,18
2013,Број,0-4,Мушкарци,Domaljevac-Šamac,89
2013,Број,0-4,Мушкарци,Donji Vakuf,338
2013,Број,0-4,Мушкарци,Donji Žabar,70
2013,Број,0-4,Мушкарци,Drvar,106
2013,Број,0-4,Мушкарци,Foča - FBIH,50
2013,Број,0-4,Мушкарци,Foča - RS,367
2013,Број,0-4,Мушкарци,Fojnica,294
2013,Број,0-4,Мушкарци,Gacko,206
2013,Број,0-4,Мушкарци,Glamoč,77
2013,Број,0-4,Мушкарци,Goražde,513
2013,Број,0-4,Мушкарци,Gornji Vakuf-Uskoplje,559
2013,Број,0-4,Мушкарци,Gračanica,1276
2013,Број,0-4,Мушкарци,Gradačac,1060
2013,Број,0-4,Мушкарци,Gradiška,1044
2013,Број,0-4,Мушкарци,Grude,409
2013,Број,0-4,Мушкарци,Sarajevo - Hadžići,682
2013,Број,0-4,Мушкарци,Han Pijesak,72
2013,Број,0-4,Мушкарци,Sarajevo - Ilidža,2013
2013,Број,0-4,Мушкарци,Sarajevo - Ilijaš,556
2013,Број,0-4,Мушкарци,Istočna Ilidža,342
2013,Број,0-4,Мушкарци,Istočni Mostar,4
2013,Број,0-4,Мушкарци,Istočni Stari Grad,23
2013,Број,0-4,Мушкарци,Istočno Novo Sarajevo,300
2013,Број,0-4,Мушкарци,Jablanica,231
2013,Број,0-4,Мушкарци,Jajce,672
2013,Број,0-4,Мушкарци,Jezero,22
2013,Број,0-4,Мушкарци,Kakanj,1130
2013,Број,0-4,Мушкарци,Kalesija,936
2013,Број,0-4,Мушкарци,Kalinovik,25
2013,Број,0-4,Мушкарци,Kiseljak,531
2013,Број,0-4,Мушкарци,Kladanj,336
2013,Број,0-4,Мушкарци,Ključ,342
2013,Број,0-4,Мушкарци,Kneževo,213
2013,Број,0-4,Мушкарци,Konjic,516
2013,Број,0-4,Мушкарци,Kostajnica,103
2013,Број,0-4,Мушкарци,Kotor Varoš,478
2013,Број,0-4,Мушкарци,Kozarska Dubica,408
2013,Број,0-4,Мушкарци,Kreševo,127
2013,Број,0-4,Мушкарци,Krupa Na Uni,27
2013,Број,0-4,Мушкарци,Kupres - FBIH,86
2013,Број,0-4,Мушкарци,Kupres - RS,6
2013,Број,0-4,Мушкарци,Laktaši,855
2013,Број,0-4,Мушкарци,Livno,686
2013,Број,0-4,Мушкарци,Lopare,255
2013,Број,0-4,Мушкарци,Lukavac,1019
2013,Број,0-4,Мушкарци,Ljubinje,73
2013,Број,0-4,Мушкарци,Ljubuški,683
2013,Број,0-4,Мушкарци,Maglaj,633
2013,Број,0-4,Мушкарци,Milići,247
2013,Број,0-4,Мушкарци,Modriča,514
2013,Број,0-4,Мушкарци,Mostar,2750
2013,Број,0-4,Мушкарци,Mrkonjić Grad,337
2013,Број,0-4,Мушкарци,Neum,105
2013,Број,0-4,Мушкарци,Nevesinje,301
2013,Број,0-4,Мушкарци,Novi Grad,496
2013,Број,0-4,Мушкарци,Sarajevo - Novi Grad,3488
2013,Број,0-4,Мушкарци,Novi Travnik,685
2013,Број,0-4,Мушкарци,Novo Goražde,50
2013,Број,0-4,Мушкарци,Sarajevo - Novo Sarajevo,1645
2013,Број,0-4,Мушкарци,Odžak,344
2013,Број,0-4,Мушкарци,Olovo,224
2013,Број,0-4,Мушкарци,Orašje,369
2013,Број,0-4,Мушкарци,Osmaci,148
2013,Број,0-4,Мушкарци,Oštra Luka,55
2013,Број,0-4,Мушкарци,Pale - FBIH,18
2013,Број,0-4,Мушкарци,Pale - RS,462
2013,Број,0-4,Мушкарци,Pelagićevo,65
2013,Број,0-4,Мушкарци,Petrovac,8
2013,Број,0-4,Мушкарци,Petrovo,146
2013,Број,0-4,Мушкарци,Posušje,642
2013,Број,0-4,Мушкарци,Prijedor,1805
2013,Број,0-4,Мушкарци,Prnjavor,812
2013,Број,0-4,Мушкарци,Prozor,341
2013,Број,0-4,Мушкарци,Ravno,60
2013,Број,0-4,Мушкарци,Ribnik,121
2013,Број,0-4,Мушкарци,Rogatica,252
2013,Број,0-4,Мушкарци,Rudo,153
2013,Број,0-4,Мушкарци,Sanski Most,850
2013,Број,0-4,Мушкарци,Sapna,321
2013,Број,0-4,Мушкарци,Sokolac,264
2013,Број,0-4,Мушкарци,Srbac,412
2013,Број,0-4,Мушкарци,Srebrenica,265
2013,Број,0-4,Мушкарци,Srebrenik,1129
2013,Број,0-4,Мушкарци,Sarajevo - Stari Grad,835
2013,Број,0-4,Мушкарци,Stolac,337
2013,Број,0-4,Мушкарци,Šamac,289
2013,Број,0-4,Мушкарци,Šekovići,130
2013,Број,0-4,Мушкарци,Šipovo,234
2013,Број,0-4,Мушкарци,Široki Brijeg,861
2013,Број,0-4,Мушкарци,Teočak,192
2013,Број,0-4,Мушкарци,Teslić,1048
2013,Број,0-4,Мушкарци,Tešanj,1388
2013,Број,0-4,Мушкарци,Tomislavgrad,755
2013,Број,0-4,Мушкарци,Travnik,1463
2013,Број,0-4,Мушкарци,Trebinje,753
2013,Број,0-4,Мушкарци,Trnovo - FBIH,12
2013,Број,0-4,Мушкарци,Trnovo - RS,30
2013,Број,0-4,Мушкарци,Tuzla,2666
2013,Број,0-4,Мушкарци,Ugljevik,368
2013,Број,0-4,Мушкарци,Usora,121
2013,Број,0-4,Мушкарци,Vareš,128
2013,Број,0-4,Мушкарци,Velika Kladuša,1433
2013,Број,0-4,Мушкарци,Visoko,1178
2013,Број,0-4,Мушкарци,Višegrad,164
2013,Број,0-4,Мушкарци,Vitez,757
2013,Број,0-4,Мушкарци,Vlasenica,268
2013,Број,0-4,Мушкарци,Sarajevo - Vogošća,837
2013,Број,0-4,Мушкарци,Vukosavlje,107
2013,Број,0-4,Мушкарци,Zavidovići,1013
2013,Број,0-4,Мушкарци,Zenica,3104
2013,Број,0-4,Мушкарци,Zvornik,1545
2013,Број,0-4,Мушкарци,Žepče,878
2013,Број,0-4,Мушкарци,Živinice,1778
