Year,UNIT_MEASURE,Године,Пол,Municipality,Value
2013,Број,Total,Оба пола,Tuzla,110979
2013,Број,Total,Оба пола,Ugljevik,15710
2013,Број,Total,Оба пола,Usora,6603
2013,Број,Total,Оба пола,Vareš,8892
2013,Број,Total,Оба пола,Velika Kladuša,40419
2013,Број,Total,Оба пола,Visoko,39938
2013,Број,Total,Оба пола,Višegrad,10668
2013,Број,Total,Оба пола,Vitez,25836
2013,Број,Total,Оба пола,Vlasenica,11467
2013,Број,Total,Оба пола,Sarajevo - Vogošća,26343
2013,Број,Total,Оба пола,Vukosavlje,4667
2013,Број,Total,Оба пола,Zavidovići,35988
2013,Број,Total,Оба пола,Zenica,110663
2013,Број,Total,Оба пола,Zvornik,58856
2013,Број,Total,Оба пола,Žepče,30219
2013,Број,Total,Оба пола,Živinice,57765
2013,Број,0-4,Оба пола,Banja Luka,9610
2013,Број,0-4,Оба пола,Banovići,1206
2013,Број,0-4,Оба пола,Berkovići,93
2013,Број,0-4,Оба пола,Bihać,2652
2013,Број,0-4,Оба пола,Bijeljina,5080
2013,Број,0-4,Оба пола,Bileća,487
2013,Број,0-4,Оба пола,Bosanska Krupa,1423
2013,Број,0-4,Оба пола,Bosanski Petrovac,249
2013,Број,0-4,Оба пола,Bosansko Grahovo,69
2013,Број,0-4,Оба пола,Bratunac,948
2013,Број,0-4,Оба пола,Brčko,4165
2013,Број,0-4,Оба пола,Breza,698
2013,Број,0-4,Оба пола,Brod,771
2013,Број,0-4,Оба пола,Bugojno,1484
2013,Број,0-4,Оба пола,Busovača,961
2013,Број,0-4,Оба пола,Bužim,1405
2013,Број,0-4,Оба пола,Cazin,3940
2013,Број,0-4,Оба пола,Sarajevo - Centar,2588
2013,Број,0-4,Оба пола,Čajniče,185
2013,Број,0-4,Оба пола,Čapljina,1233
2013,Број,0-4,Оба пола,Čelić,475
2013,Број,0-4,Оба пола,Čelinac,769
2013,Број,0-4,Оба пола,Čitluk,1002
2013,Број,0-4,Оба пола,Derventa,1170
2013,Број,0-4,Оба пола,Doboj,3330
2013,Број,0-4,Оба пола,Doboj-Istok,541
2013,Број,0-4,Оба пола,Doboj-Jug,235
2013,Број,0-4,Оба пола,Dobretići,30
2013,Број,0-4,Оба пола,Domaljevac-Šamac,163
2013,Број,0-4,Оба пола,Donji Vakuf,680
2013,Број,0-4,Оба пола,Donji Žabar,145
2013,Број,0-4,Оба пола,Drvar,210
2013,Број,0-4,Оба пола,Foča - FBIH,85
2013,Број,0-4,Оба пола,Foča - RS,644
2013,Број,0-4,Оба пола,Fojnica,557
2013,Број,0-4,Оба пола,Gacko,419
2013,Број,0-4,Оба пола,Glamoč,145
2013,Број,0-4,Оба пола,Goražde,978
2013,Број,0-4,Оба пола,Gornji Vakuf-Uskoplje,1072
2013,Број,0-4,Оба пола,Gračanica,2600
2013,Број,0-4,Оба пола,Gradačac,2100
2013,Број,0-4,Оба пола,Gradiška,2092
2013,Број,0-4,Оба пола,Grude,805
2013,Број,0-4,Оба пола,Sarajevo - Hadžići,1380
2013,Број,0-4,Оба пола,Han Pijesak,134
2013,Број,0-4,Оба пола,Sarajevo - Ilidža,3915
2013,Број,0-4,Оба пола,Sarajevo - Ilijaš,1085
2013,Број,0-4,Оба пола,Istočna Ilidža,649
2013,Број,0-4,Оба пола,Istočni Mostar,7
2013,Број,0-4,Оба пола,Istočni Stari Grad,40
2013,Број,0-4,Оба пола,Istočno Novo Sarajevo,625
2013,Број,0-4,Оба пола,Jablanica,440
2013,Број,0-4,Оба пола,Jajce,1311
2013,Број,0-4,Оба пола,Jezero,44
2013,Број,0-4,Оба пола,Kakanj,2102
2013,Број,0-4,Оба пола,Kalesija,1841
2013,Број,0-4,Оба пола,Kalinovik,52
2013,Број,0-4,Оба пола,Kiseljak,1082
2013,Број,0-4,Оба пола,Kladanj,606
2013,Број,0-4,Оба пола,Ključ,699
2013,Број,0-4,Оба пола,Kneževo,406
2013,Број,0-4,Оба пола,Konjic,1046
2013,Број,0-4,Оба пола,Kostajnica,222
2013,Број,0-4,Оба пола,Kotor Varoš,922
2013,Број,0-4,Оба пола,Kozarska Dubica,800
2013,Број,0-4,Оба пола,Kreševo,240
2013,Број,0-4,Оба пола,Krupa Na Uni,49
2013,Број,0-4,Оба пола,Kupres - FBIH,164
2013,Број,0-4,Оба пола,Kupres - RS,6
2013,Број,0-4,Оба пола,Laktaši,1687
2013,Број,0-4,Оба пола,Livno,1334
2013,Број,0-4,Оба пола,Lopare,517
2013,Број,0-4,Оба пола,Lukavac,1968
2013,Број,0-4,Оба пола,Ljubinje,155
2013,Број,0-4,Оба пола,Ljubuški,1352
2013,Број,0-4,Оба пола,Maglaj,1215
2013,Број,0-4,Оба пола,Milići,489
2013,Број,0-4,Оба пола,Modriča,1001
2013,Број,0-4,Оба пола,Mostar,5335
2013,Број,0-4,Оба пола,Mrkonjić Grad,681
2013,Број,0-4,Оба пола,Neum,206
2013,Број,0-4,Оба пола,Nevesinje,561
2013,Број,0-4,Оба пола,Novi Grad,981
2013,Број,0-4,Оба пола,Sarajevo - Novi Grad,6754
2013,Број,0-4,Оба пола,Novi Travnik,1318
2013,Број,0-4,Оба пола,Novo Goražde,103
2013,Број,0-4,Оба пола,Sarajevo - Novo Sarajevo,3295
2013,Број,0-4,Оба пола,Odžak,693
2013,Број,0-4,Оба пола,Olovo,417
2013,Број,0-4,Оба пола,Orašje,726
2013,Број,0-4,Оба пола,Osmaci,275
2013,Број,0-4,Оба пола,Oštra Luka,107
2013,Број,0-4,Оба пола,Pale - FBIH,35
2013,Број,0-4,Оба пола,Pale - RS,904
2013,Број,0-4,Оба пола,Pelagićevo,133
2013,Број,0-4,Оба пола,Petrovac,13
2013,Број,0-4,Оба пола,Petrovo,264
