Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
enrolment_in_high_school_education,Enrolment in high school education,enrolment_in_high_school_education,enrolment_in_high_school_education,enrolment_in_high_school_education,5,1
enrolment_in_higher_education,Enrolment in higher education,enrolment_in_higher_education,enrolment_in_higher_education,enrolment_in_higher_education,5,1
enrolment_in_pre_school,Enrolment in pre-school education,enrolment_in_pre_school,enrolment_in_pre_school,enrolment_in_pre_school,5,1
enrolment_in_primary_school_education,Enrolment in primary school education,enrolment_in_primary_school_education,enrolment_in_primary_school_education,enrolment_in_primary_school_education,5,1
