Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
2010/2011,2010/2011,2010/2011,2010/2011,2010/2011,6,2
2011/2012,2011/2012,2011/2012,2011/2012,2011/2012,6,2
2012/2013,2012/2013,2012/2013,2012/2013,2012/2013,6,2
2013/2014,2013/2014,2013/2014,2013/2014,2013/2014,6,2
2014/2015,2014/2015,2014/2015,2014/2015,2014/2015,6,2
2015/2016,2015/2016,2015/2016,2015/2016,2015/2016,6,2
2016/2017,2016/2017,2016/2017,2016/2017,2016/2017,6,2
2017/2018,2017/2018,2017/2018,2017/2018,2017/2018,6,2
2018/2019,2018/2019,2018/2019,2018/2019,2018/2019,6,2
2019/2020,2019/2020,2019/2020,2019/2020,2019/2020,6,2
