Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
per_capita,per_capita,per_capita,per_capita,per_capita,2,2
real_gdp_growth,real_gdp_growth,real_gdp_growth,real_gdp_growth,real_gdp_growth,1,1
total_millions,total_millions,total_millions,total_millions,total_millions,5,2
