Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
1971,1971,1971,1971,1971,96,2
1981,1981,1981,1981,1981,96,2
1991,1991,1991,1991,1991,96,2
2013,2013,2013,2013,2013,96,2
