Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
marriage_rate,Marriage rate,marriage_rate,marriage_rate,marriage_rate,8,2
number_of_marriages,Number of marriages,number_of_marriages,number_of_marriages,number_of_marriages,8,2
