Value,en,bs,sr,hr,test,Disaggregation combinations using this value,Number of indicators
86,86,86,86,86,86,12,2
87,87,87,87,87,87,12,2
88,88,88,88,88,88,12,2
89,89,89,89,89,89,12,2
9,9,9,9,9,9,12,2
90-94,90-94,90-94,90-94,90-94,90-94,12,2
90,90,90,90,90,90,12,2
91,91,91,91,91,91,12,2
92,92,92,92,92,92,12,2
93,93,93,93,93,93,12,2
94,94,94,94,94,94,12,2
95-99,95-99,95-99,95-99,95-99,95-99,12,2
95,95,95,95,95,95,12,2
96,96,96,96,96,96,12,2
97,97,97,97,97,97,12,2
98,98,98,98,98,98,12,2
99,99,99,99,99,99,12,2
Total,Total,Total,Total,Total,Total,444,4
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,12,2
