Value,en,bs,sr,hr,test,Disaggregation combinations using this value,Number of indicators
all_methods,All methods,Sve metode,Све методе,Sve metode,Све методе,1,1
modern_methods,Modern methods,Savremene metode,Савремене методе,Suvremene metode,Савремене методе,1,1
traditional_methods,Traditional methods,Tradicionalne metode,Традиционалне методе,Tradicionalne metode,Традиционалне методе,1,1
