Indicator,Disaggregation combinations using this value
#1-1-3,6
#1-1-4,9
#2-1-2,6
#2-1-3,6
#2-1-5,6
#2-1-6,6
#2-1-7,6
#3-5-2,6
#6-3-1,3
#6-3-2,4
#6-3-3,3
