Value,en,bs,sr,hr,test,Disaggregation combinations using this value,Number of indicators
_T,Both sexes,Oba spola,Оба пола,Oba spola,Оба пола,3744,45
F,F,Ž,Ж,Ž,Ж,3742,45
M,M,M,M,M,M,3741,45
