Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
BD,Brčko District of BiH,Brčko distrikt BiH,Брчко Дистрикт БиХ,Brčko distrikt BiH,408,35
BiH,BiH,BiH,BiH,BiH,84,41
FBIH,Federation of BiH,Federacija BiH,Федерација БиХ,Federacija BiH,426,47
RS,Republika Srpska,Republika Srpska,Република Српска,Republika Srpska,425,46
