Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
advanced_schools_faculty_academy_university,advanced_schools_faculty_academy_university,advanced_schools_faculty_academy_university,advanced_schools_faculty_academy_university,advanced_schools_faculty_academy_university,6,1
higher_school_and_first_grade_of_faculty,higher_school_and_first_grade_of_faculty,higher_school_and_first_grade_of_faculty,higher_school_and_first_grade_of_faculty,higher_school_and_first_grade_of_faculty,6,1
incomplete_primary_education,incomplete_primary_education,incomplete_primary_education,incomplete_primary_education,incomplete_primary_education,6,1
primary_school,primary_school,primary_school,primary_school,primary_school,6,1
secondary_school,secondary_school,secondary_school,secondary_school,secondary_school,6,1
total_15,total_15,total_15,total_15,total_15,6,1
unknown,unknown,unknown,unknown,unknown,6,1
