Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
in_marriage_birth,In marriage birth,in_marriage_birth,in_marriage_birth,in_marriage_birth,10,1
out_of_marriage_birth,Out of marriage birth,out_of_marriage_birth,out_of_marriage_birth,out_of_marriage_birth,14,1
total,Total,Ukupno,Укупно,Ukupno,21,1
unknown_marital_status_birth,Unknown marital status birth,unknown_marital_status_birth,unknown_marital_status_birth,unknown_marital_status_birth,18,1
