Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
OSCE,OSCE,OSCE,OSCE,OSCE,54,1
UN Women & UNFPA,UN Women & UNFPA,UN Women & UNFPA,UN Women & UNFPA,UN Women & UNFPA,81,1
