Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
2_members,2 members,2 člana,2 члана,2 člana,1,1
3_members,3 members,3 člana,3 члана,3 člana,1,1
4_members,4 members,4 člana,4 члана,4 člana,1,1
5_members,5 members,5 članova,5 чланова,5 članova,1,1
6_members,6 members,6 članova,6 чланова,6 članova,1,1
7_members,7 members,7 članova,7 чланова,7 članova,1,1
8+_members,8+ members,8+ članova,8+ чланова,8+ članova,1,1
single_household,1 member,1 član,1 члан,1 član,1,1
