Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
BD,Brčko District of BiH,Brčko distrikt BiH,Брчко дистрикт БиХ,Brčko distrikt BiH,387,39
BiH,BiH,BiH,BiH,BiH,141,46
FBIH,Federation of BiH,Federacija BiH,Федерација БиХ,Federacija BiH,405,51
RS,Republika Srpska,Republika Srpska,Република Српска,Republika Srpska,404,50
