Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
2_members,2_members,2_members,2_members,2_members,1,1
3_members,3_members,3_members,3_members,3_members,1,1
4_members,4_members,4_members,4_members,4_members,1,1
5_members,5_members,5_members,5_members,5_members,1,1
6_members,6_members,6_members,6_members,6_members,1,1
7_members,7_members,7_members,7_members,7_members,1,1
8+_members,8+_members,8+_members,8+_members,8+_members,1,1
single_household,single_household,single_household,single_household,single_household,1,1
total,Total,Ukupno,Укупно,Ukupno,1,1
