Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
R,Rural,Ruralno,Рурално,Ruralno,59,5
_T,Total,Ukupno,Укупно,Ukupno,59,6
U,Urban,Urbano,Урбано,Urbano,59,5
