Indicator,Disaggregation combinations using this value
#1-1-1,369
#1-1-3,102
#4-1-1,21
#4-1-2,8
#4-1-3,8
#4-1-4,28
#4-1-5,2
#4-1-6,137
#5-1-1,1
#5-2-1,4
#5-2-2,12
#6-1-1,18
#6-1-2,18
#6-1-3,53
