Indicator,Disaggregation combinations using this value
#1-8-3,1
#2-1-6,12
#3-1-3,3
#3-1-4,1
#3-1-5,1
#3-5-1,1
#3-5-2,1
#3-5-3,1
#3-5-4,1
#3-5-5,1
#3-5-6,1
#3-5-7,1
#3-6-1,3
#3-6-2,1
#3-6-3,1
#3-6-4,1
#6-1-1,1
#7-2-1,1
#7-2-2,3
