Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
Year 1971,Year 1971,Year 1971,Year 1971,Year 1971,48,1
Year 1981,Year 1981,Year 1981,Year 1981,Year 1981,48,1
Year 1991,Year 1991,Year 1991,Year 1991,Year 1991,48,1
Year 2013,Year 2013,Year 2013,Year 2013,Year 2013,48,1
