Value,en,bs,sr,hr,test,Disaggregation combinations using this value,Number of indicators
DEATHS,Deaths,Smrtni slučajevi,Смртни случајеви,Smrtni slučajevi,Смртни случајеви,6,2
LIVE_BIRTH,Live births,Živorođeni,Живорођени,Živorođeni,Живорођени,6,2
NATURAL_CHANGE,Natural change,Prirodno kretanje,Природно кретање,Prirodno kretanje,Природно кретање,4,2
