Indicator
#1-2-3
#1-2-5
#1-7-1
#1-7-2
#1-8-1
#2-1-1
#2-1-2
#2-1-3
#2-5-1
#3-7-1
#7-1-1
#7-1-2
#7-1-3
#8-1-1
