Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
Adventist,Adventist,Adventist,Adventist,Adventist,3,1
Agnostic,Agnostic,Agnostic,Agnostic,Agnostic,3,1
Atheist,Atheist,Atheist,Atheist,Atheist,3,1
Bosniak,Bosniak,Bosniak,Bosniak,Bosniak,3,1
Bosnian,Bosnian,Bosnian,Bosnian,Bosnian,3,1
Catholic,Catholic,Catholic,Catholic,Catholic,3,1
Christian,Christian,Christian,Christian,Christian,3,1
Croat,Croat,Croat,Croat,Croat,3,1
Greek_Catholic,Greek_Catholic,Greek_Catholic,Greek_Catholic,Greek_Catholic,3,1
Islam,Islam,Islam,Islam,Islam,3,1
jehovah_s_witnesses,jehovah_s_witnesses,jehovah_s_witnesses,jehovah_s_witnesses,jehovah_s_witnesses,3,1
Muslim,Muslim,Muslim,Muslim,Muslim,3,1
Orthodox,Orthodox,Orthodox,Orthodox,Orthodox,3,1
Others,Others,Others,Others,Others,3,1
Protestant,Protestant,Protestant,Protestant,Protestant,3,1
Roman_Catholic,Roman_Catholic,Roman_Catholic,Roman_Catholic,Roman_Catholic,3,1
Romani,Romani,Romani,Romani,Romani,3,1
Serbian,Serbian,Serbian,Serbian,Serbian,3,1
Undeclared,Undeclared,Undeclared,Undeclared,Undeclared,3,1
Unknown,Unknown,Unknown,Unknown,Unknown,3,1
